epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.9292382597923279,0.9828608632087708,0.0005000000237487257,0.04287777841091156,0.9292382597923279,0.9292382597923279,0.40947556495666504,0.3423546254634857,0.3428138494491577,0.40947556495666504,0.40947556495666504
1,0.9642968773841858,0.9949435591697693,0.0005000000237487257,0.021644627675414085,0.9642968773841858,0.9642968773841858,0.5540196299552917,0.5295918583869934,0.43244099617004395,0.5540196299552917,0.5540196299552917
2,0.970996081829071,0.9964315891265869,0.0005000000237487257,0.017384402453899384,0.970996081829071,0.970996081829071,0.4140896797180176,0.39795589447021484,0.6917485594749451,0.4140896797180176,0.4140896797180176
3,0.9677343964576721,0.9952597618103027,0.0005000000237487257,0.02095475234091282,0.9677343964576721,0.9677343964576721,0.3938503563404083,0.35722875595092773,0.7945245504379272,0.3938503563404083,0.3938503563404083
4,0.974316418170929,0.9968923926353455,0.0005000000237487257,0.017062894999980927,0.974316418170929,0.974316418170929,0.3595176339149475,0.32313501834869385,0.8411922454833984,0.3595176339149475,0.3595176339149475
5,0.9559570550918579,0.9907698631286621,0.0005000000237487257,0.034512702375650406,0.9559570550918579,0.9559570550918579,0.8069356083869934,0.840149462223053,0.33124804496765137,0.8069356083869934,0.8069356083869934
6,0.9632812738418579,0.9930353164672852,0.0005000000237487257,0.030051114037632942,0.9632812738418579,0.9632812738418579,0.41150954365730286,0.3820987045764923,0.8236009478569031,0.41150954365730286,0.41150954365730286
7,0.9783594012260437,0.9976537227630615,0.0005000000237487257,0.01495418045669794,0.9783594012260437,0.9783594012260437,0.4808153510093689,0.4641115069389343,0.7855057716369629,0.4808153510093689,0.4808153510093689
8,0.9681445360183716,0.9948967695236206,0.0005000000237487257,0.023896891623735428,0.9681445360183716,0.9681445360183716,0.4068891406059265,0.3531416952610016,0.9079973697662354,0.4068891406059265,0.4068891406059265
9,0.9710937738418579,0.9955806732177734,0.0005000000237487257,0.020125174894928932,0.9710937738418579,0.9710937738418579,0.16195210814476013,0.1676560491323471,1.6068977117538452,0.16195210814476013,0.16195210814476013
10,0.9491797089576721,0.987702488899231,0.0005000000237487257,0.038846250623464584,0.9491797089576721,0.9491797089576721,0.858776867389679,0.8795655369758606,0.31954967975616455,0.858776867389679,0.858776867389679
11,0.9460351467132568,0.9878579378128052,0.0005000000237487257,0.041541632264852524,0.9460351467132568,0.9460351467132568,0.8682122230529785,0.9300045371055603,0.19525203108787537,0.8682122230529785,0.8682122230529785
12,0.9534375071525574,0.990458071231842,0.0005000000237487257,0.034309323877096176,0.9534375071525574,0.9534375071525574,0.24933142960071564,0.24845901131629944,1.4090052843093872,0.24933142960071564,0.24933142960071564
13,0.9796679615974426,0.9979313015937805,0.0005000000237487257,0.013644609600305557,0.9796679615974426,0.9796679615974426,0.2882217764854431,0.26051366329193115,1.3154290914535522,0.2882217764854431,0.2882217764854431
14,0.9834179878234863,0.9984603524208069,0.0005000000237487257,0.01107100211083889,0.9834179878234863,0.9834179878234863,0.7736889123916626,0.8129743933677673,0.28778737783432007,0.7736889123916626,0.7736889123916626
15,0.9833398461341858,0.9985001683235168,0.0005000000237487257,0.011191006749868393,0.9833398461341858,0.9833398461341858,0.6312416195869446,0.6461506485939026,0.49982985854148865,0.6312416195869446,0.6312416195869446
16,0.98388671875,0.9986973404884338,0.0005000000237487257,0.011150958947837353,0.98388671875,0.98388671875,0.7285082936286926,0.78629469871521,0.5214076042175293,0.7285082936286926,0.7285082936286926
17,0.9765429496765137,0.9961400032043457,0.0005000000237487257,0.02140173129737377,0.9765429496765137,0.9765429496765137,0.489459753036499,0.45175883173942566,0.6807611584663391,0.489459753036499,0.489459753036499
18,0.9701367020606995,0.994979739189148,0.0005000000237487257,0.025689968839287758,0.9701367020606995,0.9701367020606995,0.19806772470474243,0.16118207573890686,2.5930020809173584,0.19806772470474243,0.19806772470474243
19,0.9822070598602295,0.9980987906455994,0.0005000000237487257,0.014787338674068451,0.9822070598602295,0.9822070598602295,0.23993371427059174,0.18829528987407684,1.7404088973999023,0.23993371427059174,0.23993371427059174
20,0.9800976514816284,0.9977848529815674,0.0002500000118743628,0.015762992203235626,0.9800976514816284,0.9800976514816284,0.5716034770011902,0.5737643837928772,0.6852443814277649,0.5716034770011902,0.5716034770011902
21,0.9760351777076721,0.996757447719574,0.0002500000118743628,0.018516287207603455,0.9760351777076721,0.9760351777076721,0.8303702473640442,0.8583997488021851,0.3827313780784607,0.8303702473640442,0.8303702473640442
