epoch,bpm_out_loss,bpm_out_mae,cls_out_accuracy,cls_out_auc,cls_out_loss,cls_out_precision,cls_out_recall,learning_rate,loss,sqi_out_loss,sqi_out_mae,val_bpm_out_loss,val_bpm_out_mae,val_cls_out_accuracy,val_cls_out_auc,val_cls_out_loss,val_cls_out_precision,val_cls_out_recall,val_loss,val_sqi_out_loss,val_sqi_out_mae
0,0.09421134740114212,0.25911110639572144,0.9248006343841553,0.9448245167732239,0.07506970316171646,0.9511780142784119,0.8494949340820312,0.0005000000237487257,0.11267748475074768,0.046813271939754486,0.15234224498271942,0.09202829003334045,0.2596071660518646,0.9009034037590027,0.9436286687850952,0.15449191629886627,0.9009034037590027,0.9009034037590027,0.1863153576850891,0.020619001239538193,0.10572444647550583
1,0.08527889847755432,0.24248310923576355,0.9525743126869202,0.9513144493103027,0.05027348920702934,0.9710494875907898,0.8672893047332764,0.0005000000237487257,0.0842161476612091,0.04176226630806923,0.13973772525787354,0.07337303459644318,0.23063603043556213,0.9237381219863892,0.9506863355636597,0.13419677317142487,0.9237381219863892,0.9237381219863892,0.1580522358417511,0.008775650523602962,0.07432205975055695
2,0.08078078180551529,0.23213812708854675,0.962378978729248,0.952247142791748,0.04022733122110367,0.9783846735954285,0.8734554052352905,0.0005000000237487257,0.07255145162343979,0.04043153300881386,0.1343611180782318,0.0668729692697525,0.2200753539800644,0.9161198735237122,0.9529337286949158,0.14218547940254211,0.9161198735237122,0.9161198735237122,0.1646391749382019,0.01201538648456335,0.08408454805612564
3,0.07854864001274109,0.22690433263778687,0.9682080745697021,0.9521157741546631,0.035238612443208694,0.9815309643745422,0.8769468665122986,0.0005000000237487257,0.06689592450857162,0.04045902565121651,0.13379104435443878,0.06256285309791565,0.21083927154541016,0.8354705572128296,0.902900755405426,0.20046889781951904,0.8354705572128296,0.8354705572128296,0.22170032560825348,0.012314856983721256,0.0871260017156601
4,0.07642082870006561,0.2223697453737259,0.9706897139549255,0.953138530254364,0.03217924386262894,0.9834150671958923,0.8775020241737366,0.0005000000237487257,0.06311574578285217,0.04005127772688866,0.13257931172847748,0.06081783398985863,0.2049986720085144,0.8417924642562866,0.918764591217041,0.1980859786272049,0.8417924642562866,0.8417924642562866,0.21809318661689758,0.008220464922487736,0.07501045614480972
5,0.07496125996112823,0.21850381791591644,0.9720921516418457,0.9538484215736389,0.030716434121131897,0.9844515919685364,0.8796138167381287,0.0005000000237487257,0.06116676703095436,0.03982478007674217,0.13207492232322693,0.05979619175195694,0.206512913107872,0.8901342153549194,0.9551286101341248,0.12398957461118698,0.8901342153549194,0.8901342153549194,0.14405091106891632,0.010275693610310555,0.08552799373865128
6,0.07386962324380875,0.21545110642910004,0.9748116135597229,0.9537079930305481,0.02864273265004158,0.9859698414802551,0.8795567750930786,0.0005000000237487257,0.058668192476034164,0.03931485489010811,0.13091325759887695,0.05565058812499046,0.19476783275604248,0.8262968063354492,0.9199845790863037,0.20344989001750946,0.8262968063354492,0.8262968063354492,0.22273790836334229,0.013011730276048183,0.0862824097275734
7,0.07319698482751846,0.21424520015716553,0.9752628207206726,0.9539178013801575,0.02769257314503193,0.98619544506073,0.8798298239707947,0.0005000000237487257,0.0575280487537384,0.039370015263557434,0.13034243881702423,0.052865222096443176,0.19266104698181152,0.8677582144737244,0.9486466646194458,0.14536471664905548,0.8677582144737244,0.8677582144737244,0.1636744737625122,0.011755021288990974,0.08742542564868927
8,0.07287906855344772,0.2130810022354126,0.9763725399971008,0.9554525017738342,0.02614717371761799,0.9870734810829163,0.8820141553878784,0.0005000000237487257,0.05587175115942955,0.03930690139532089,0.13060373067855835,0.05067762732505798,0.186540886759758,0.8917296528816223,0.9593929052352905,0.1408877670764923,0.8917296528816223,0.8917296528816223,0.1576150357723236,0.007125212345272303,0.07340191304683685
9,0.07139474153518677,0.20964477956295013,0.9774029850959778,0.9559208154678345,0.025692537426948547,0.9875734448432922,0.882331132888794,0.0005000000237487257,0.054928310215473175,0.03909311443567276,0.13045553863048553,0.05243387073278427,0.19344763457775116,0.9417067170143127,0.9726999998092651,0.10308603197336197,0.9417067170143127,0.9417067170143127,0.12075313180685043,0.009321503341197968,0.07889086753129959
10,0.07103055715560913,0.20828086137771606,0.977762758731842,0.9548138380050659,0.024898437783122063,0.9882685542106628,0.8813437819480896,0.0005000000237487257,0.053996969014406204,0.03894051909446716,0.12945890426635742,0.05357072874903679,0.19468113780021667,0.93416827917099,0.9739492535591125,0.0993281900882721,0.93416827917099,0.93416827917099,0.11725160479545593,0.008932691067457199,0.0796954482793808
11,0.07040242105722427,0.20655424892902374,0.9778724908828735,0.9558446407318115,0.02460166998207569,0.9881588220596313,0.8819844722747803,0.0005000000237487257,0.053481344133615494,0.03879934176802635,0.12936973571777344,0.05209239572286606,0.18937832117080688,0.8963564038276672,0.9635389447212219,0.12852901220321655,0.8963564038276672,0.8963564038276672,0.1456160843372345,0.0070501030422747135,0.06910287588834763
12,0.07053890824317932,0.20708422362804413,0.9784334301948547,0.9555562734603882,0.024531468749046326,0.9884941577911377,0.8818374872207642,0.0005000000237487257,0.05354106053709984,0.03923729062080383,0.1301773339509964,0.05211235582828522,0.19001120328903198,0.8657639026641846,0.9470219612121582,0.154015451669693,0.8657639026641846,0.8657639026641846,0.17231613397598267,0.0127872871235013,0.09472577273845673
13,0.06933624297380447,0.20440903306007385,0.9793297648429871,0.955868661403656,0.023380691185593605,0.9890551567077637,0.8822898864746094,0.0005000000237487257,0.051948003470897675,0.038836535066366196,0.12962675094604492,0.05389142036437988,0.19420206546783447,0.9143649339675903,0.9725261330604553,0.10414405912160873,0.9143649339675903,0.9143649339675903,0.12277574837207794,0.011938653886318207,0.08660967648029327
14,0.06919999420642853,0.20339033007621765,0.9791773557662964,0.9565404057502747,0.023159917443990707,0.9888966083526611,0.8832053542137146,0.0005000000237487257,0.05171355977654457,0.0389707013964653,0.12991316616535187,0.05530095472931862,0.19992220401763916,0.9240372776985168,0.9728119969367981,0.09368354082107544,0.9240372776985168,0.9240372776985168,0.11215400695800781,0.009119482710957527,0.07572999596595764
15,0.06883803009986877,0.20286300778388977,0.9807504415512085,0.9564970135688782,0.022093769162893295,0.9897197484970093,0.883579671382904,0.0005000000237487257,0.050473861396312714,0.03868236392736435,0.1290115863084793,0.05301116034388542,0.19230692088603973,0.9005045294761658,0.9673229455947876,0.1127837598323822,0.9005045294761658,0.9005045294761658,0.13048680126667023,0.00862231757491827,0.07357072830200195
16,0.0686294287443161,0.2017645388841629,0.9808236360549927,0.9560700058937073,0.021922463551163673,0.9898477792739868,0.88483065366745,0.0005000000237487257,0.050291478633880615,0.03890027105808258,0.12969639897346497,0.05006538704037666,0.1876327395439148,0.90586918592453,0.9741951823234558,0.09729877859354019,0.90586918592453,0.90586918592453,0.11408296227455139,0.008485248312354088,0.07481168210506439
17,0.0686127245426178,0.20139600336551666,0.9813480377197266,0.9563974738121033,0.02172395959496498,0.9900124669075012,0.8835763931274414,0.0005000000237487257,0.049987394362688065,0.03841075673699379,0.1283082813024521,0.05123011767864227,0.19104699790477753,0.8493707776069641,0.9466429352760315,0.1296251118183136,0.8493707776069641,0.8493707776069641,0.14682576060295105,0.008810876868665218,0.07789809256792068
18,0.06800980865955353,0.19997325539588928,0.981158971786499,0.9564990401268005,0.021293992176651955,0.9902319312095642,0.883810818195343,0.0005000000237487257,0.04943716526031494,0.038694001734256744,0.12852634489536285,0.05112299695611,0.1900317668914795,0.9172366857528687,0.9712084531784058,0.1028662770986557,0.9172366857528687,0.9172366857528687,0.1197381317615509,0.007325651124119759,0.07095149904489517
19,0.06832531094551086,0.20058108866214752,0.9822321534156799,0.9570135474205017,0.020693210884928703,0.9907441139221191,0.8848795294761658,0.0005000000237487257,0.048952944576740265,0.0388115830719471,0.12924720346927643,0.04834512248635292,0.1838850975036621,0.9036954045295715,0.9680091738700867,0.10462000966072083,0.9036954045295715,0.9036954045295715,0.12118338793516159,0.010132311843335629,0.0773652195930481
20,0.06780598312616348,0.1991805136203766,0.9818906784057617,0.9564058184623718,0.02073490247130394,0.9908356070518494,0.8842244744300842,0.0005000000237487257,0.04874003306031227,0.038309819996356964,0.12763294577598572,0.04779117926955223,0.1834161877632141,0.8403964638710022,0.9337933659553528,0.16595619916915894,0.8403964638710022,0.8403964638710022,0.1819518804550171,0.0077581885270774364,0.07151930779218674
21,0.06797346472740173,0.19954834878444672,0.9820736050605774,0.9566042423248291,0.02024555578827858,0.9911892414093018,0.8850457072257996,0.0005000000237487257,0.0483100451529026,0.03835778683423996,0.12816978991031647,0.048233792185783386,0.18209537863731384,0.8563708066940308,0.9436340928077698,0.1602812111377716,0.8563708066940308,0.8563708066940308,0.17626698315143585,0.007208819501101971,0.07030520588159561
22,0.06777816265821457,0.19901786744594574,0.9825918674468994,0.9559318423271179,0.019932301715016365,0.9911343455314636,0.8841975927352905,0.0005000000237487257,0.04790749400854111,0.03822244331240654,0.1277335286140442,0.048810385167598724,0.18208058178424835,0.8443451523780823,0.9395151734352112,0.15408006310462952,0.8443451523780823,0.8443451523780823,0.1704988330602646,0.008354145102202892,0.07437749207019806
23,0.06727274507284164,0.1985950618982315,0.9831101894378662,0.9559711217880249,0.019308194518089294,0.9916404485702515,0.8845913410186768,0.0002500000118743628,0.04722429811954498,0.038684774190187454,0.12848131358623505,0.05008494108915329,0.18342171609401703,0.9002054333686829,0.9692357778549194,0.10095027834177017,0.9002054333686829,0.9002054333686829,0.11759859323501587,0.007965566590428352,0.07380075007677078
24,0.06686097383499146,0.19732820987701416,0.9835430979728699,0.9575475454330444,0.019023284316062927,0.9916953444480896,0.8855747580528259,0.0002500000118743628,0.046684958040714264,0.038022879511117935,0.1273483783006668,0.05316956341266632,0.1883898824453354,0.9230600595474243,0.9807238578796387,0.07703448086977005,0.9230600595474243,0.9230600595474243,0.09496159106492996,0.009596740826964378,0.07539986819028854
25,0.0664706602692604,0.1957705020904541,0.9840309023857117,0.957423985004425,0.018300479277968407,0.9919453263282776,0.8865606784820557,0.0002500000118743628,0.045885272324085236,0.03822020813822746,0.1273612380027771,0.04879502207040787,0.18208296597003937,0.9082623720169067,0.9750828742980957,0.1040523499250412,0.9082623720169067,0.9082623720169067,0.12060385942459106,0.009218149818480015,0.0739307627081871
26,0.06612170487642288,0.1952710896730423,0.983835756778717,0.9568485617637634,0.018551278859376907,0.9922685027122498,0.884781002998352,0.0002500000118743628,0.04597901552915573,0.03795129060745239,0.12683050334453583,0.048839159309864044,0.18115384876728058,0.9119119048118591,0.9744306802749634,0.09648516029119492,0.9119119048118591,0.9119119048118591,0.11347124725580215,0.011339210905134678,0.08146818727254868
27,0.0665646642446518,0.19619396328926086,0.9841955304145813,0.9564324617385864,0.017849642783403397,0.9921526312828064,0.8849038481712341,0.0002500000118743628,0.0454830527305603,0.03835514560341835,0.1280912458896637,0.04839617386460304,0.18067726492881775,0.9026584029197693,0.9705172181129456,0.10041861981153488,0.9026584029197693,0.9026584029197693,0.11700576543807983,0.010003641247749329,0.0770866721868515
28,0.06618014723062515,0.19513675570487976,0.984616219997406,0.9573284983634949,0.017738014459609985,0.9925306439399719,0.8863158822059631,0.0002500000118743628,0.0452435277402401,0.03826220706105232,0.1273527443408966,0.05003237724304199,0.18493090569972992,0.9110543727874756,0.9744506478309631,0.09461383521556854,0.9110543727874756,0.9110543727874756,0.1113087385892868,0.008097821846604347,0.07028830796480179
29,0.06631184369325638,0.19540822505950928,0.9846101403236389,0.9583477973937988,0.017409224063158035,0.992597758769989,0.8872840404510498,0.0002500000118743628,0.04496326670050621,0.038309913128614426,0.12739114463329315,0.04681273549795151,0.17469145357608795,0.9008834958076477,0.9707888960838318,0.11364378035068512,0.9008834958076477,0.9008834958076477,0.12960819900035858,0.00923741701990366,0.07621858268976212
30,0.06619574874639511,0.19522815942764282,0.984665036201477,0.9570266008377075,0.01717015542089939,0.9927257895469666,0.8861379027366638,0.0002500000118743628,0.044640570878982544,0.038064684718847275,0.12675116956233978,0.047681957483291626,0.17859914898872375,0.877011775970459,0.9578245282173157,0.11986862868070602,0.877011775970459,0.877011775970459,0.13595198094844818,0.008540264330804348,0.0731310173869133
