epoch,accuracy,loss,val_accuracy,val_auc,val_loss
0,0.7868049740791321,0.4644380509853363,0.49504950642585754,0.5385295343137255,0.7141719460487366
1,0.8680495619773865,0.32169395685195923,0.6561881303787231,0.726297794117647,0.6332199573516846
2,0.8951311111450195,0.26052141189575195,0.6782178282737732,0.7535411764705883,0.6509132981300354
3,0.9125612378120422,0.2153547704219818,0.6195544600486755,0.7095414215686274,0.826670229434967
4,0.9321520924568176,0.1814824789762497,0.643069326877594,0.7117229166666668,0.8920522332191467
5,0.9458369612693787,0.15206775069236755,0.6452970504760742,0.7142367647058824,0.9931407570838928
6,0.9556323885917664,0.124994195997715,0.6314356327056885,0.7001049019607843,1.1866445541381836
7,0.963699221611023,0.10415934026241302,0.6393564343452454,0.6908620098039215,1.3583958148956299
8,0.9690290689468384,0.09100005775690079,0.6183168292045593,0.6745781862745098,1.4246386289596558
9,0.9717660546302795,0.08252137899398804,0.6391088962554932,0.7049290441176471,1.3921315670013428
10,0.9770959615707397,0.06861930340528488,0.6621286869049072,0.7206928921568627,1.4926944971084595
11,0.9822817444801331,0.05672668665647507,0.6448019742965698,0.7262093137254901,1.5929981470108032
12,0.9827139377593994,0.05047955736517906,0.6547029614448547,0.7184386029411765,1.5482263565063477
13,0.9822817444801331,0.0518282949924469,0.6294554471969604,0.671061887254902,1.868587851524353
14,0.9838663339614868,0.04395453259348869,0.6655940413475037,0.7244072303921569,1.6518250703811646
15,0.9899164438247681,0.03153552487492561,0.675000011920929,0.7221979166666667,1.7770391702651978
16,0.9870354533195496,0.03471982479095459,0.6514851450920105,0.7181682598039216,1.7853920459747314
17,0.9899164438247681,0.026624832302331924,0.6566831469535828,0.7147479166666666,1.9420543909072876
18,0.9913569688796997,0.023731030523777008,0.6561881303787231,0.7176126225490196,2.326636791229248
19,0.9893402457237244,0.026938432827591896,0.6462871432304382,0.6817462009803922,2.4063735008239746
20,0.9909248352050781,0.025073464959859848,0.6745049357414246,0.739940931372549,1.8358869552612305
21,0.9906367063522339,0.02477339841425419,0.6371287107467651,0.6955968137254901,2.2401468753814697
22,0.9938058257102966,0.01927870884537697,0.645049512386322,0.705438112745098,2.2661845684051514
