epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.9139959812164307,0.9482808113098145,0.0010000000474974513,0.09032008796930313,0.9468061923980713,0.8449370861053467,0.8998264670372009,0.9515568614006042,0.1391739696264267,0.8998264670372009,0.8998264670372009
1,0.9248067140579224,0.9500297904014587,0.0010000000474974513,0.07990533858537674,0.9549035429954529,0.8521029353141785,0.9080629348754883,0.9552148580551147,0.13924568891525269,0.9080629348754883,0.9080629348754883
2,0.9300809502601624,0.9499525427818298,0.0010000000474974513,0.07611033320426941,0.9570071697235107,0.8555908203125,0.9129289984703064,0.9579305648803711,0.13595518469810486,0.9129289984703064,0.9129289984703064
3,0.9322821497917175,0.9483258128166199,0.0010000000474974513,0.07440362870693207,0.9589278101921082,0.8562483787536621,0.9165187478065491,0.9598202109336853,0.13742895424365997,0.9165187478065491,0.9165187478065491
4,0.9340260028839111,0.9486657381057739,0.0010000000474974513,0.07248437404632568,0.9606168270111084,0.8553349375724792,0.9186526536941528,0.9604895710945129,0.12894420325756073,0.9186526536941528,0.9186526536941528
5,0.9362637400627136,0.9491078853607178,0.0010000000474974513,0.07165626436471939,0.961531400680542,0.8604846596717834,0.9163392782211304,0.9575483202934265,0.13501322269439697,0.9163392782211304,0.9163392782211304
6,0.9365808367729187,0.949714720249176,0.0010000000474974513,0.0705692321062088,0.9618728756904602,0.8609640598297119,0.9193107485771179,0.9599665999412537,0.13982628285884857,0.9193107485771179,0.9193107485771179
7,0.9375929832458496,0.948249876499176,0.0010000000474974513,0.06991150230169296,0.9623667597770691,0.8596280217170715,0.9142053723335266,0.9537410140037537,0.15070778131484985,0.9142053723335266,0.9142053723335266
8,0.9388978481292725,0.9491453170776367,0.0010000000474974513,0.06877771764993668,0.9634703993797302,0.8611719608306885,0.9214047789573669,0.9592207074165344,0.13259007036685944,0.9214047789573669,0.9214047789573669
9,0.940086841583252,0.948265016078949,0.0010000000474974513,0.0671868845820427,0.9646167159080505,0.8595498204231262,0.9213250279426575,0.9589850306510925,0.13369439542293549,0.9213250279426575,0.9213250279426575
10,0.9411843419075012,0.9500328898429871,0.0010000000474974513,0.0661264955997467,0.9643118381500244,0.8621073365211487,0.9240571856498718,0.9607458114624023,0.1345321089029312,0.9240571856498718,0.9240571856498718
11,0.9415928721427917,0.9500977993011475,0.0010000000474974513,0.06549008190631866,0.9646654725074768,0.8626492023468018,0.9198492169380188,0.9597113728523254,0.1402646005153656,0.9198492169380188,0.9198492169380188
12,0.9424892067909241,0.9491105675697327,0.0010000000474974513,0.06453554332256317,0.9654642343521118,0.8617799282073975,0.9226013422012329,0.9614056348800659,0.13164521753787994,0.9226013422012329,0.9226013422012329
13,0.9428550601005554,0.9505709409713745,0.0010000000474974513,0.06361525505781174,0.9660252332687378,0.863888680934906,0.9242366552352905,0.9595338702201843,0.13946670293807983,0.9242366552352905,0.9242366552352905
14,0.9435379505157471,0.951132595539093,0.0010000000474974513,0.06346554309129715,0.9656227827072144,0.8664059042930603,0.9248948097229004,0.962522029876709,0.1491006761789322,0.9248948097229004,0.9248948097229004
15,0.9442513585090637,0.9490187764167786,0.0010000000474974513,0.06343861669301987,0.9671715497970581,0.862308919429779,0.9250543713569641,0.9588640332221985,0.13624775409698486,0.9250543713569641,0.9250543713569641
16,0.9437696933746338,0.9490447044372559,0.0010000000474974513,0.06337863206863403,0.9667873978614807,0.8625338077545166,0.9249745607376099,0.9578447937965393,0.14267025887966156,0.9249745607376099,0.9249745607376099
17,0.9452696442604065,0.9499437808990479,0.0010000000474974513,0.06250683963298798,0.9673178791999817,0.8652899861335754,0.9257124662399292,0.958516538143158,0.1395905613899231,0.9257124662399292,0.9257124662399292
18,0.9452086687088013,0.9500758647918701,0.0010000000474974513,0.061662670224905014,0.9671654105186462,0.8645076751708984,0.9226611852645874,0.9596567749977112,0.13319683074951172,0.9226611852645874,0.9226611852645874
19,0.9455866813659668,0.9489700198173523,0.0010000000474974513,0.06085339933633804,0.9678239822387695,0.8622905611991882,0.9247153401374817,0.9581707715988159,0.1431850790977478,0.9247153401374817,0.9247153401374817
20,0.9451598525047302,0.9494924545288086,0.0010000000474974513,0.061428967863321304,0.9686654210090637,0.8633826375007629,0.9259717464447021,0.9618809223175049,0.12998051941394806,0.9259717464447021,0.9259717464447021
21,0.9454525709152222,0.950021505355835,0.0010000000474974513,0.06157943233847618,0.9674581289291382,0.8640769720077515,0.9229802489280701,0.9594033360481262,0.1430877149105072,0.9229802489280701,0.9229802489280701
22,0.945659875869751,0.9501677751541138,0.0010000000474974513,0.06086703762412071,0.9683300256729126,0.8640229105949402,0.9258919358253479,0.9608837962150574,0.13525260984897614,0.9258919358253479,0.9258919358253479
23,0.9452940225601196,0.9497528076171875,0.0010000000474974513,0.06119118630886078,0.9674825072288513,0.8636331558227539,0.9276469349861145,0.9618719220161438,0.13806955516338348,0.9276469349861145,0.9276469349861145
24,0.9461842179298401,0.9486629366874695,0.0010000000474974513,0.06100941449403763,0.9685739278793335,0.8624902367591858,0.92561274766922,0.9587392210960388,0.13955643773078918,0.92561274766922,0.92561274766922
25,0.946696400642395,0.9510674476623535,0.0010000000474974513,0.05998938903212547,0.9683117270469666,0.8662924766540527,0.9283050298690796,0.9621307253837585,0.12773780524730682,0.9283050298690796,0.9283050298690796
26,0.9463671445846558,0.949432373046875,0.0010000000474974513,0.05999580770730972,0.9689458608627319,0.8631213903427124,0.9260514974594116,0.9594491720199585,0.13362646102905273,0.9260514974594116,0.9260514974594116
