epoch,bpm_out_loss,bpm_out_mae,cls_out_accuracy,cls_out_auc,cls_out_loss,cls_out_precision,cls_out_recall,learning_rate,loss,sqi_out_loss,sqi_out_mae,val_bpm_out_loss,val_bpm_out_mae,val_cls_out_accuracy,val_cls_out_auc,val_cls_out_loss,val_cls_out_precision,val_cls_out_recall,val_loss,val_sqi_out_loss,val_sqi_out_mae
0,0.0931069403886795,0.2556014358997345,0.9284346699714661,0.9474676847457886,0.07072583585977554,0.9530011415481567,0.8512529730796814,0.0005000000237487257,0.10805625468492508,0.047000590711832047,0.1541251689195633,0.08712097257375717,0.2500273585319519,0.9203876852989197,0.9588916301727295,0.12232904881238937,0.9203876852989197,0.9203876852989197,0.15229317545890808,0.018686000257730484,0.09987344592809677
1,0.08396697044372559,0.2386346310377121,0.9549888968467712,0.9521653056144714,0.04813899099826813,0.9724823832511902,0.8686258792877197,0.0005000000237487257,0.08153290301561356,0.04098959639668465,0.1366700828075409,0.0674162283539772,0.21677665412425995,0.8787268400192261,0.92784184217453,0.1509498804807663,0.8787268400192261,0.8787268400192261,0.17408297955989838,0.014528543688356876,0.09227218478918076
2,0.07974731177091599,0.22878605127334595,0.9617082476615906,0.9530799984931946,0.04051773250102997,0.9774273633956909,0.872600793838501,0.0005000000237487257,0.07248986512422562,0.040229298174381256,0.1329725831747055,0.06931513547897339,0.22058461606502533,0.9292822480201721,0.9608541131019592,0.11724679172039032,0.9292822480201721,0.9292822480201721,0.14058932662010193,0.012326084077358246,0.08152773231267929
3,0.07795535773038864,0.22336123883724213,0.9673178791999817,0.9529276490211487,0.036114614456892014,0.9807016849517822,0.8760342001914978,0.0005000000237487257,0.06752274185419083,0.040109701454639435,0.13386504352092743,0.061517100781202316,0.20477944612503052,0.9067267775535583,0.9524443745613098,0.12450368702411652,0.9067267775535583,0.9067267775535583,0.14569580554962158,0.013278529047966003,0.08473162353038788
4,0.0759105384349823,0.21741436421871185,0.9691653847694397,0.9533740878105164,0.03357359394431114,0.9828113913536072,0.876906156539917,0.0005000000237487257,0.06431344896554947,0.03982950747013092,0.13295847177505493,0.05827825516462326,0.1990162432193756,0.8578465580940247,0.92792809009552,0.17267899215221405,0.8578465580940247,0.8578465580940247,0.1919858753681183,0.008617542684078217,0.07189507782459259
5,0.07482460141181946,0.21549493074417114,0.9715677499771118,0.9538039565086365,0.03163813799619675,0.9837260246276855,0.8788793087005615,0.0005000000237487257,0.06191990152001381,0.03924630954861641,0.13118116557598114,0.05664123222231865,0.1980191022157669,0.9074646234512329,0.9552727341651917,0.1327582597732544,0.9074646234512329,0.9074646234512329,0.15189409255981445,0.01025991328060627,0.08212558180093765
6,0.0737396627664566,0.21309827268123627,0.9737994074821472,0.9534043669700623,0.029668690636754036,0.9853906035423279,0.8790878653526306,0.0005000000237487257,0.05964437499642372,0.039251670241355896,0.1310037076473236,0.05605478584766388,0.19857019186019897,0.9129289984703064,0.9594116806983948,0.11984304338693619,0.9129289984703064,0.9129289984703064,0.13975898921489716,0.015083182603120804,0.09165064245462418
7,0.07305239886045456,0.211137592792511,0.9750066995620728,0.9538078904151917,0.028253022581338882,0.9860857129096985,0.8796936273574829,0.0005000000237487257,0.05800913646817207,0.03918563574552536,0.13031308352947235,0.053728584200143814,0.19257263839244843,0.9427437782287598,0.9702037572860718,0.1027551218867302,0.9427437782287598,0.9427437782287598,0.12129026651382446,0.01169991958886385,0.08404912799596786
8,0.07277082651853561,0.21044503152370453,0.9754579067230225,0.9554196000099182,0.027199765667319298,0.9863539934158325,0.8814865350723267,0.0005000000237487257,0.056846488267183304,0.039081428200006485,0.1303151249885559,0.054603248834609985,0.19294536113739014,0.9133877158164978,0.960669994354248,0.13412749767303467,0.9133877158164978,0.9133877158164978,0.1526646912097931,0.010406370274722576,0.08203292638063431
9,0.07165615260601044,0.2084336131811142,0.9765676259994507,0.9538797736167908,0.026163101196289062,0.9871161580085754,0.8819226026535034,0.0005000000237487257,0.05545025318861008,0.03895573318004608,0.13049086928367615,0.053276438266038895,0.19357804954051971,0.9435015916824341,0.9696471095085144,0.11053898185491562,0.9435015916824341,0.9435015916824341,0.12869037687778473,0.010442248545587063,0.07983241975307465
