epoch,loss,sliced_auc,val_auc,val_loss,val_sliced_auc
0,0.4488151967525482,0.8346324563026428,0.3895906862745099,0.7030251026153564,0.45323804020881653
1,0.2957819402217865,0.9340903759002686,0.7281071078431374,0.7305294871330261,0.6091692447662354
2,0.24403069913387299,0.958556592464447,0.7797921568627451,0.5193973183631897,0.7671410441398621
3,0.21288004517555237,0.9715815186500549,0.76196875,0.5814000368118286,0.7661218047142029
4,0.18989138305187225,0.9800825715065002,0.7135120098039216,0.6831381320953369,0.7269772887229919
5,0.17181460559368134,0.9859931468963623,0.743664705882353,0.6768694519996643,0.7507448792457581
6,0.1570679247379303,0.9899910688400269,0.74453125,0.6842401027679443,0.7533522248268127
7,0.14737027883529663,0.9924294948577881,0.7312257352941176,0.7585453987121582,0.7394172549247742
8,0.13822871446609497,0.9945768117904663,0.7170639705882353,0.798981249332428,0.7081901431083679
9,0.13344986736774445,0.9955405592918396,0.7434142156862745,0.7242293357849121,0.7436016201972961
10,0.12357252836227417,0.9974671006202698,0.7248791666666667,0.7813639044761658,0.7320120930671692
11,0.11840321868658066,0.9984062910079956,0.7555583333333333,0.7383400201797485,0.7562136054039001
12,0.11518963426351547,0.998684823513031,0.7543144607843137,0.7473832368850708,0.7534774541854858
13,0.11295296251773834,0.9990125894546509,0.7652316176470588,0.7180666923522949,0.7579056620597839
14,0.10849687457084656,0.9993956685066223,0.7530700980392157,0.7768585085868835,0.7379706501960754
15,0.105451300740242,0.9995468854904175,0.7447416666666666,0.7584463953971863,0.7405399680137634
16,0.10550582408905029,0.9995449781417847,0.7554348039215686,0.740217387676239,0.7462714314460754
17,0.10149429738521576,0.9998881816864014,0.7395692401960785,0.761945366859436,0.7254016995429993
18,0.09849153459072113,0.9999675154685974,0.7383318627450979,0.7619004249572754,0.7373110055923462
19,0.09979323297739029,0.9999028444290161,0.7398017156862745,0.764006495475769,0.7301126718521118
20,0.10128523409366608,0.999772846698761,0.7573676470588235,0.751404881477356,0.7436412572860718
21,0.09887504577636719,0.9999523758888245,0.7516556372549019,0.8129850029945374,0.7204751968383789
22,0.09681592136621475,0.999984085559845,0.7546796568627451,0.7419947981834412,0.7481261491775513
