epoch,accuracy,loss,val_accuracy,val_auc,val_loss
0,0.8189162015914917,0.39611178636550903,0.49504950642585754,0.34763958333333334,0.7298492193222046
1,0.9104678630828857,0.2334774285554886,0.53910893201828,0.600389705882353,0.6909991502761841
2,0.9372265338897705,0.162803515791893,0.6871287226676941,0.7590357843137255,0.6766107082366943
3,0.9587680697441101,0.1162199079990387,0.6972772479057312,0.7755730392156863,1.0850855112075806
4,0.9654998183250427,0.09371942281723022,0.6410890817642212,0.7652932598039216,1.7618125677108765
5,0.975260853767395,0.06736496090888977,0.6423267126083374,0.703325612745098,1.6053870916366577
6,0.9754291772842407,0.06326612830162048,0.6601485013961792,0.742271568627451,1.4936726093292236
7,0.9819926023483276,0.048233382403850555,0.5863861441612244,0.6645821078431372,2.1335134506225586
8,0.9851901531219482,0.04127374663949013,0.5913366079330444,0.6771262254901962,2.085155487060547
9,0.9867048263549805,0.034827783703804016,0.6076732873916626,0.658790931372549,2.092350959777832
10,0.9899023771286011,0.027665717527270317,0.6492574214935303,0.706151593137255,2.6551103591918945
11,0.9922584891319275,0.022870931774377823,0.6670792102813721,0.7242837009803922,2.1111769676208496
12,0.9912487268447876,0.025074752047657967,0.6495049595832825,0.7348993872549021,1.997206449508667
13,0.9930999875068665,0.02036317251622677,0.6861386299133301,0.7650835784313725,1.841322660446167
14,0.9942780137062073,0.018481433391571045,0.6858910918235779,0.7699386029411764,1.7814197540283203
15,0.9939414262771606,0.017827851697802544,0.676980197429657,0.7487372549019609,1.9252175092697144
16,0.9984853863716125,0.006898700725287199,0.6554455161094666,0.7106848039215685,2.5360424518585205
17,0.9952877759933472,0.015041609294712543,0.6811881065368652,0.7436437499999999,2.0703766345977783
18,0.993604838848114,0.020307015627622604,0.6727722883224487,0.7521322303921568,1.9124467372894287
19,0.9954560995101929,0.014814840629696846,0.6811881065368652,0.7725578431372548,1.8631210327148438
20,0.9947829246520996,0.015911294147372246,0.6396039724349976,0.7123908088235293,2.39845609664917
21,0.9978122115135193,0.006481078919023275,0.6829208135604858,0.7564256127450979,2.2548563480377197
22,0.9966341257095337,0.008418363519012928,0.6534653306007385,0.7203194852941176,2.308073043823242
23,0.9952877759933472,0.014645264483988285,0.66410893201828,0.710643137254902,2.7746598720550537
