epoch,loss,sliced_auc,val_auc,val_loss,val_sliced_auc
0,0.3146171271800995,0.8634766936302185,0.6485323529411765,0.5246816873550415,0.5694484114646912
1,0.21194499731063843,0.9391484260559082,0.7167814950980392,0.696903645992279,0.603600263595581
2,0.18796896934509277,0.9569430947303772,0.7694949754901961,0.5279378294944763,0.6639929413795471
3,0.1703634113073349,0.969225287437439,0.7492686274509803,0.3942984938621521,0.7421525716781616
4,0.15941424667835236,0.9768431186676025,0.7358696078431372,0.40527355670928955,0.7326618432998657
5,0.15288403630256653,0.9811844825744629,0.740286887254902,0.42721784114837646,0.7354654669761658
6,0.14482897520065308,0.9856856465339661,0.7481482843137255,0.41686156392097473,0.7427794337272644
7,0.14100603759288788,0.9885337948799133,0.7445680147058824,0.4371548891067505,0.7325210571289062
8,0.13620559871196747,0.99073725938797,0.7405481617647058,0.4282132685184479,0.7337106466293335
9,0.1337500363588333,0.9922765493392944,0.7425700980392157,0.41657620668411255,0.7376993894577026
10,0.13052615523338318,0.9937772750854492,0.7369367647058824,0.4229169487953186,0.7341176867485046
11,0.1283315122127533,0.9948572516441345,0.7279821078431372,0.44693735241889954,0.7191786766052246
12,0.12540897727012634,0.9961186051368713,0.741329044117647,0.4306693971157074,0.7339488863945007
13,0.12504953145980835,0.9962744116783142,0.7352882352941177,0.44337666034698486,0.7214555740356445
14,0.12357216328382492,0.9969860911369324,0.7343325980392157,0.4392673969268799,0.7302380800247192
15,0.1218634694814682,0.9971696138381958,0.733066911764706,0.44584178924560547,0.7243275046348572
16,0.12080466747283936,0.9980011582374573,0.7325857843137256,0.45053401589393616,0.7223678827285767
17,0.1198270171880722,0.9981524348258972,0.7158492647058824,0.4510051906108856,0.7177489995956421
18,0.11979299038648605,0.9982761144638062,0.7231226715686274,0.44255733489990234,0.7257823944091797
19,0.1198665127158165,0.9983253479003906,0.7199397058823529,0.44054746627807617,0.7192424535751343
20,0.11869542300701141,0.9985249638557434,0.7172041666666666,0.45286741852760315,0.7094019055366516
21,0.11791723221540451,0.9984175562858582,0.7236281862745098,0.44773411750793457,0.7262621521949768
22,0.11814817041158676,0.998519778251648,0.740471568627451,0.43151605129241943,0.7417024374008179
