epoch,loss,sliced_auc,val_auc,val_loss,val_sliced_auc
0,0.32123279571533203,0.8561873435974121,0.4429680147058824,0.45539841055870056,0.4674376845359802
1,0.21340207755565643,0.9401238560676575,0.6252714460784313,0.5319502353668213,0.5575578212738037
2,0.1852404922246933,0.9606114029884338,0.7759229166666667,0.5030879378318787,0.6665465831756592
3,0.1688525378704071,0.9719006419181824,0.7763443627450981,0.3976750373840332,0.7481221556663513
4,0.16057255864143372,0.976897120475769,0.7695605392156862,0.3805917203426361,0.7551764845848083
5,0.15302973985671997,0.9817560911178589,0.7665026960784314,0.4072414040565491,0.744321346282959
6,0.1486436426639557,0.9846054315567017,0.7659762254901962,0.40761691331863403,0.751043438911438
7,0.14389024674892426,0.9868800640106201,0.7636110294117648,0.39300015568733215,0.7619917988777161
8,0.13825611770153046,0.9898518919944763,0.7646285539215686,0.3981754779815674,0.7567511200904846
9,0.13600288331508636,0.9912182688713074,0.7546610294117646,0.40977591276168823,0.7420282363891602
10,0.13207976520061493,0.9932462573051453,0.7609950980392156,0.41438916325569153,0.7511518597602844
11,0.13017447292804718,0.9940450191497803,0.761630637254902,0.4185132086277008,0.74796462059021
12,0.1264929473400116,0.9954981803894043,0.7677338235294118,0.4279496669769287,0.7496702671051025
13,0.12593597173690796,0.9963145852088928,0.7567198529411765,0.4103652834892273,0.7479782104492188
14,0.12333480268716812,0.9970487952232361,0.7600338235294117,0.40292415022850037,0.7570676803588867
15,0.12348265945911407,0.9969000220298767,0.7626052696078431,0.406419962644577,0.7583666443824768
16,0.12149516493082047,0.9980236887931824,0.7565262254901961,0.4121602773666382,0.7548507452011108
17,0.12043258547782898,0.9982384443283081,0.7500267156862745,0.4127438962459564,0.746536910533905
18,0.1197761744260788,0.9981719255447388,0.7490236519607844,0.40782758593559265,0.7515174746513367
19,0.11903534829616547,0.9986211657524109,0.7657468137254901,0.4177975058555603,0.7657696604728699
20,0.11711989343166351,0.9988949298858643,0.759265318627451,0.3987151086330414,0.7574026584625244
21,0.11732269823551178,0.9987863302230835,0.7377887254901961,0.41766348481178284,0.7343718409538269
22,0.11743678897619247,0.9990383386611938,0.7608150735294118,0.4120033085346222,0.7627062201499939
23,0.11676038056612015,0.9986613988876343,0.7631779411764705,0.429206520318985,0.7641987800598145
