tag,role,format,aami,n,n_abn,abn_fraction,class_auc,global_auc,recall@0.35,recall@0.50,recall@0.60,recall@0.65,global_precision@0.35,global_precision@0.50,global_precision@0.60,global_precision@0.65,global_far@0.35,global_far@0.50,global_far@0.60,global_far@0.65
exp7c_int8_tflite,current_deployment_anchor,tflite_int8,F,389,389,1.0,,0.889437,0.598972,0.046272,0.005141,0.005141,0.199853,0.452825,0.468119,0.537587,0.470603,0.089411,0.043289,0.022877
exp7c_int8_tflite,current_deployment_anchor,tflite_int8,Q,0,0,,,0.889437,,,,,0.199853,0.452825,0.468119,0.537587,0.470603,0.089411,0.043289,0.022877
exp7c_int8_tflite,current_deployment_anchor,tflite_int8,ALL,51883,5636,0.108629,,0.889437,0.964514,0.607168,0.312633,0.21824,0.199853,0.452825,0.468119,0.537587,0.470603,0.089411,0.043289,0.022877
p2a_float32,historical_strong_research_model,h5_float32,N,20981,0,0.0,,0.964564,,,,,0.424591,0.450248,0.465749,0.474081,0.158064,0.141328,0.131706,0.126797
p2a_float32,historical_strong_research_model,h5_float32,S,302,302,1.0,,0.964564,0.97351,0.950331,0.940397,0.933775,0.424591,0.450248,0.465749,0.474081,0.158064,0.141328,0.131706,0.126797
p2a_float32,historical_strong_research_model,h5_float32,V,2590,2590,1.0,,0.964564,0.990347,0.986873,0.983398,0.981853,0.424591,0.450248,0.465749,0.474081,0.158064,0.141328,0.131706,0.126797
p2a_float32,historical_strong_research_model,h5_float32,F,389,389,1.0,,0.964564,0.645244,0.601542,0.547558,0.51928,0.424591,0.450248,0.465749,0.474081,0.158064,0.141328,0.131706,0.126797
p2a_float32,historical_strong_research_model,h5_float32,Q,0,0,,,0.964564,,,,,0.424591,0.450248,0.465749,0.474081,0.158064,0.141328,0.131706,0.126797
p2a_float32,historical_strong_research_model,h5_float32,ALL,51883,5636,0.108629,,0.964564,0.957062,0.949787,0.942158,0.937899,0.424591,0.450248,0.465749,0.474081,0.158064,0.141328,0.131706,0.126797
lstm_cnn_baseline,cross_arch_baseline,h5_float32,N,20981,0,0.0,,0.79869,,,,,0.355922,0.383403,0.415247,0.451295,0.114883,0.076156,0.057885,0.045798
lstm_cnn_baseline,cross_arch_baseline,h5_float32,S,302,302,1.0,,0.79869,0.254967,0.129139,0.102649,0.069536,0.355922,0.383403,0.415247,0.451295,0.114883,0.076156,0.057885,0.045798
lstm_cnn_baseline,cross_arch_baseline,h5_float32,V,2590,2590,1.0,,0.79869,0.718147,0.614286,0.571429,0.547104,0.355922,0.383403,0.415247,0.451295,0.114883,0.076156,0.057885,0.045798
lstm_cnn_baseline,cross_arch_baseline,h5_float32,F,389,389,1.0,,0.79869,0.557841,0.416452,0.298201,0.22108,0.355922,0.383403,0.415247,0.451295,0.114883,0.076156,0.057885,0.045798
lstm_cnn_baseline,cross_arch_baseline,h5_float32,Q,0,0,,,0.79869,,,,,0.355922,0.383403,0.415247,0.451295,0.114883,0.076156,0.057885,0.045798
lstm_cnn_baseline,cross_arch_baseline,h5_float32,ALL,51883,5636,0.108629,,0.79869,0.520937,0.388573,0.337296,0.309084,0.355922,0.383403,0.415247,0.451295,0.114883,0.076156,0.057885,0.045798
lstm_cnn_deploy,cross_arch_deploy,h5_float32,N,20981,0,0.0,,0.790969,,,,,0.301853,0.286413,0.258065,0.243997,0.075767,0.044176,0.030834,0.025191
lstm_cnn_deploy,cross_arch_deploy,h5_float32,S,302,302,1.0,,0.790969,0.427152,0.347682,0.264901,0.211921,0.301853,0.286413,0.258065,0.243997,0.075767,0.044176,0.030834,0.025191
lstm_cnn_deploy,cross_arch_deploy,h5_float32,V,2590,2590,1.0,,0.790969,0.184556,0.102703,0.07529,0.065637,0.301853,0.286413,0.258065,0.243997,0.075767,0.044176,0.030834,0.025191
lstm_cnn_deploy,cross_arch_deploy,h5_float32,F,389,389,1.0,,0.790969,0.007712,0.007712,0.0,0.0,0.301853,0.286413,0.258065,0.243997,0.075767,0.044176,0.030834,0.025191
lstm_cnn_deploy,cross_arch_deploy,h5_float32,Q,0,0,,,0.790969,,,,,0.301853,0.286413,0.258065,0.243997,0.075767,0.044176,0.030834,0.025191
lstm_cnn_deploy,cross_arch_deploy,h5_float32,ALL,51883,5636,0.108629,,0.790969,0.268808,0.145493,0.088006,0.066714,0.301853,0.286413,0.258065,0.243997,0.075767,0.044176,0.030834,0.025191
cnn_standard_baseline,cross_arch_baseline,h5_float32,N,20981,0,0.0,,0.81731,,,,,0.287978,0.295168,0.287534,0.283265,0.236145,0.182628,0.157199,0.142798
cnn_standard_baseline,cross_arch_baseline,h5_float32,S,302,302,1.0,,0.81731,0.781457,0.708609,0.649007,0.60596,0.287978,0.295168,0.287534,0.283265,0.236145,0.182628,0.157199,0.142798
cnn_standard_baseline,cross_arch_baseline,h5_float32,V,2590,2590,1.0,,0.81731,0.862934,0.676448,0.528571,0.458301,0.287978,0.295168,0.287534,0.283265,0.236145,0.182628,0.157199,0.142798
cnn_standard_baseline,cross_arch_baseline,h5_float32,F,389,389,1.0,,0.81731,0.390746,0.226221,0.156812,0.120823,0.287978,0.295168,0.287534,0.283265,0.236145,0.182628,0.157199,0.142798
cnn_standard_baseline,cross_arch_baseline,h5_float32,Q,0,0,,,0.81731,,,,,0.287978,0.295168,0.287534,0.283265,0.236145,0.182628,0.157199,0.142798
cnn_standard_baseline,cross_arch_baseline,h5_float32,ALL,51883,5636,0.108629,,0.81731,0.783712,0.627573,0.520582,0.463094,0.287978,0.295168,0.287534,0.283265,0.236145,0.182628,0.157199,0.142798
cnn_standard_deploy,cross_arch_deploy,h5_float32,N,20981,0,0.0,,0.850289,,,,,0.365173,0.404434,0.418916,0.430069,0.123446,0.084222,0.065626,0.055247
cnn_standard_deploy,cross_arch_deploy,h5_float32,S,302,302,1.0,,0.850289,0.774834,0.569536,0.427152,0.36755,0.365173,0.404434,0.418916,0.430069,0.123446,0.084222,0.065626,0.055247
cnn_standard_deploy,cross_arch_deploy,h5_float32,V,2590,2590,1.0,,0.850289,0.508494,0.403475,0.348263,0.310811,0.365173,0.404434,0.418916,0.430069,0.123446,0.084222,0.065626,0.055247
cnn_standard_deploy,cross_arch_deploy,h5_float32,F,389,389,1.0,,0.850289,0.136247,0.071979,0.030848,0.023136,0.365173,0.404434,0.418916,0.430069,0.123446,0.084222,0.065626,0.055247
cnn_standard_deploy,cross_arch_deploy,h5_float32,Q,0,0,,,0.850289,,,,,0.365173,0.404434,0.418916,0.430069,0.123446,0.084222,0.065626,0.055247
cnn_standard_deploy,cross_arch_deploy,h5_float32,ALL,51883,5636,0.108629,,0.850289,0.582683,0.469304,0.388219,0.342087,0.365173,0.404434,0.418916,0.430069,0.123446,0.084222,0.065626,0.055247
resnet1d_baseline,cross_arch_baseline,h5_float32,N,20981,0,0.0,,0.871255,,,,,0.297227,0.338924,0.362807,0.373434,0.250978,0.194304,0.164551,0.150345
resnet1d_baseline,cross_arch_baseline,h5_float32,S,302,302,1.0,,0.871255,0.910596,0.850993,0.788079,0.781457,0.297227,0.338924,0.362807,0.373434,0.250978,0.194304,0.164551,0.150345
resnet1d_baseline,cross_arch_baseline,h5_float32,V,2590,2590,1.0,,0.871255,0.888803,0.80888,0.72973,0.676448,0.297227,0.338924,0.362807,0.373434,0.250978,0.194304,0.164551,0.150345
resnet1d_baseline,cross_arch_baseline,h5_float32,F,389,389,1.0,,0.871255,0.236504,0.123393,0.105398,0.082262,0.297227,0.338924,0.362807,0.373434,0.250978,0.194304,0.164551,0.150345
resnet1d_baseline,cross_arch_baseline,h5_float32,Q,0,0,,,0.871255,,,,,0.297227,0.338924,0.362807,0.373434,0.250978,0.194304,0.164551,0.150345
resnet1d_baseline,cross_arch_baseline,h5_float32,ALL,51883,5636,0.108629,,0.871255,0.871008,0.817424,0.768808,0.735273,0.297227,0.338924,0.362807,0.373434,0.250978,0.194304,0.164551,0.150345
resnet1d_deploy,cross_arch_deploy,h5_float32,N,20981,0,0.0,,0.849416,,,,,0.249085,0.308972,0.350747,0.372141,0.319415,0.221831,0.168227,0.144831
resnet1d_deploy,cross_arch_deploy,h5_float32,S,302,302,1.0,,0.849416,0.877483,0.798013,0.771523,0.735099,0.249085,0.308972,0.350747,0.372141,0.319415,0.221831,0.168227,0.144831
resnet1d_deploy,cross_arch_deploy,h5_float32,V,2590,2590,1.0,,0.849416,0.879151,0.850965,0.816988,0.790347,0.249085,0.308972,0.350747,0.372141,0.319415,0.221831,0.168227,0.144831
resnet1d_deploy,cross_arch_deploy,h5_float32,F,389,389,1.0,,0.849416,0.277635,0.182519,0.133676,0.113111,0.249085,0.308972,0.350747,0.372141,0.319415,0.221831,0.168227,0.144831
resnet1d_deploy,cross_arch_deploy,h5_float32,Q,0,0,,,0.849416,,,,,0.249085,0.308972,0.350747,0.372141,0.319415,0.221831,0.168227,0.144831
resnet1d_deploy,cross_arch_deploy,h5_float32,ALL,51883,5636,0.108629,,0.849416,0.869411,0.813875,0.745742,0.7044,0.249085,0.308972,0.350747,0.372141,0.319415,0.221831,0.168227,0.144831
