epoch,accuracy,loss,val_accuracy,val_auc,val_loss
0,0.708683967590332,0.7123684883117676,0.49504950642585754,0.6126773284313726,0.8189764022827148
1,0.8668798208236694,0.42124128341674805,0.49529704451560974,0.706159068627451,1.1747959852218628
2,0.8961629271507263,0.3289024829864502,0.6326732635498047,0.7257219362745098,0.7092961668968201
3,0.9190508127212524,0.26759111881256104,0.6584158539772034,0.7231281862745097,0.8299365043640137
4,0.9352070093154907,0.21726740896701813,0.6747524738311768,0.7421204656862744,0.9014818668365479
5,0.9456412196159363,0.18791575729846954,0.6772277355194092,0.7492730392156863,0.9700331091880798
6,0.9617973566055298,0.142889603972435,0.6670792102813721,0.725464338235294,1.193009853363037
7,0.9675193428993225,0.12315738946199417,0.658910870552063,0.7120348039215686,1.456373691558838
8,0.9739145040512085,0.10093677043914795,0.6636138558387756,0.7152656862745097,1.4761619567871094
9,0.9755974411964417,0.09426698088645935,0.6727722883224487,0.7300525735294118,1.5573502779006958
10,0.9769437909126282,0.08573651313781738,0.6737623810768127,0.7290720588235295,1.5334446430206299
11,0.9824974536895752,0.0693872794508934,0.643069326877594,0.7129783088235294,1.785636067390442
12,0.985358476638794,0.05483837425708771,0.6445544362068176,0.7019787990196078,1.8713328838348389
13,0.9838438034057617,0.059294912964105606,0.6668316721916199,0.7237328431372549,1.7665669918060303
14,0.9867048263549805,0.048556502908468246,0.6601485013961792,0.6911530637254902,2.2469582557678223
15,0.987209677696228,0.04300682619214058,0.6509901285171509,0.689814093137255,2.1045684814453125
16,0.9904072880744934,0.0382051095366478,0.6418316960334778,0.6981797794117647,2.1445047855377197
17,0.9914170503616333,0.03115154430270195,0.6326732635498047,0.6827906862745097,2.277604341506958
18,0.9910804629325867,0.032465338706970215,0.659900963306427,0.7047362745098039,2.107215642929077
19,0.9951195120811462,0.01928078942000866,0.6517326831817627,0.6817093137254902,2.5038833618164062
20,0.9929316639900208,0.025923635810613632,0.6537128686904907,0.6908700980392157,2.636727809906006
21,0.9905755519866943,0.031002510339021683,0.6497524976730347,0.6897585784313726,2.527313709259033
22,0.9929316639900208,0.02845284715294838,0.6566831469535828,0.7251686274509803,2.2766098976135254
23,0.9957926869392395,0.01507673878222704,0.6586633920669556,0.7045018382352941,2.5528767108917236
24,0.9959609508514404,0.01880304515361786,0.6670792102813721,0.7301257352941176,2.376638412475586
25,0.9959609508514404,0.014066429808735847,0.6586633920669556,0.6709700980392157,2.958512783050537
