epoch,auc,learning_rate,loss,val_auc,val_loss
0,0.9475299715995789,0.009999999776482582,0.09975843131542206,0.9024350643157959,0.22367866337299347
1,0.9538681507110596,0.009999999776482582,0.09221874922513962,0.9061118960380554,0.22904172539710999
2,0.9563712477684021,0.009999999776482582,0.08953998982906342,0.9145304560661316,0.23050954937934875
3,0.9578250050544739,0.009999999776482582,0.08782967180013657,0.9102054834365845,0.24381357431411743
4,0.9588393568992615,0.009999999776482582,0.0866849347949028,0.8990031480789185,0.2551964223384857
5,0.9595251679420471,0.009999999776482582,0.08592994511127472,0.9285447597503662,0.21001951396465302
6,0.9598817825317383,0.009999999776482582,0.08521994948387146,0.9176779985427856,0.2213606834411621
7,0.9603064656257629,0.009999999776482582,0.08473928272724152,0.9186529517173767,0.22280900180339813
8,0.960669755935669,0.009999999776482582,0.08433336019515991,0.9258943200111389,0.2177877426147461
9,0.9609174132347107,0.009999999776482582,0.0839664563536644,0.9196053743362427,0.21850310266017914
10,0.9610571265220642,0.009999999776482582,0.08372120559215546,0.9285895228385925,0.20974525809288025
11,0.9612913727760315,0.009999999776482582,0.08340954780578613,0.9194520711898804,0.22778724133968353
12,0.9614039063453674,0.009999999776482582,0.08325380831956863,0.9288346767425537,0.2082626074552536
13,0.9615863561630249,0.009999999776482582,0.08293942362070084,0.9318397045135498,0.20207656919956207
14,0.9616216421127319,0.009999999776482582,0.08277717977762222,0.9194480180740356,0.2265091836452484
15,0.9616671800613403,0.009999999776482582,0.08264676481485367,0.9256736636161804,0.22263821959495544
16,0.9618529081344604,0.009999999776482582,0.08245086669921875,0.930975079536438,0.19008998572826385
17,0.9618480801582336,0.009999999776482582,0.08234072476625443,0.9342333078384399,0.20670373737812042
18,0.9618727564811707,0.009999999776482582,0.08219553530216217,0.9112101197242737,0.2306843250989914
19,0.9620897769927979,0.009999999776482582,0.08207211643457413,0.9370176196098328,0.18583622574806213
20,0.9620879292488098,0.009999999776482582,0.08197008818387985,0.9385647177696228,0.18723464012145996
21,0.9622053503990173,0.009999999776482582,0.08184335380792618,0.9334383606910706,0.1866443157196045
22,0.9622241258621216,0.009999999776482582,0.0817355364561081,0.9182139039039612,0.22343291342258453
23,0.962285578250885,0.009999999776482582,0.08165733516216278,0.9287911057472229,0.2013702094554901
24,0.9623931050300598,0.009999999776482582,0.08153900504112244,0.9247289896011353,0.21792080998420715
25,0.9623568058013916,0.009999999776482582,0.081510990858078,0.9220016002655029,0.21638092398643494
26,0.9624427556991577,0.009999999776482582,0.08141118288040161,0.9327705502510071,0.20617836713790894
27,0.962472140789032,0.009999999776482582,0.08138104528188705,0.9150991439819336,0.22661396861076355
28,0.9624775648117065,0.004999999888241291,0.08129382133483887,0.9380119442939758,0.19446347653865814
29,0.962651789188385,0.004999999888241291,0.08114499598741531,0.9340584874153137,0.19205714762210846
30,0.9626712799072266,0.004999999888241291,0.08111007511615753,0.9371784329414368,0.19279083609580994
31,0.9626771807670593,0.004999999888241291,0.08105466514825821,0.9414595365524292,0.19634191691875458
32,0.9627521634101868,0.004999999888241291,0.08096034824848175,0.9345667958259583,0.19687579572200775
33,0.9627849459648132,0.004999999888241291,0.08093110471963882,0.9308965802192688,0.19709326326847076
34,0.9628142714500427,0.004999999888241291,0.08091521263122559,0.9512605667114258,0.14796285331249237
35,0.9627852439880371,0.004999999888241291,0.08088640123605728,0.9302098155021667,0.19819098711013794
36,0.9628003239631653,0.004999999888241291,0.08082715421915054,0.9348629713058472,0.19552333652973175
37,0.9628646969795227,0.004999999888241291,0.08078889548778534,0.9322715997695923,0.20350487530231476
38,0.9628310799598694,0.004999999888241291,0.08078250288963318,0.9404352903366089,0.19052864611148834
39,0.9629058241844177,0.004999999888241291,0.08070886135101318,0.9258430004119873,0.20484595000743866
40,0.9629459977149963,0.004999999888241291,0.08071450144052505,0.942876935005188,0.17509286105632782
41,0.9628812074661255,0.004999999888241291,0.08068171888589859,0.9428608417510986,0.17924295365810394
42,0.9629408717155457,0.004999999888241291,0.08062278479337692,0.9318280220031738,0.21001450717449188
43,0.9628211259841919,0.0024999999441206455,0.08071550726890564,0.9411530494689941,0.18270647525787354
44,0.962971568107605,0.0024999999441206455,0.08061300218105316,0.9383943676948547,0.18928781151771545
45,0.9628921747207642,0.0024999999441206455,0.08060916513204575,0.9382531046867371,0.19397149980068207
46,0.9629345536231995,0.0024999999441206455,0.08056443929672241,0.9369874000549316,0.19172531366348267
47,0.9629998803138733,0.0024999999441206455,0.08054009079933167,0.9451096653938293,0.17510583996772766
48,0.9629828929901123,0.0024999999441206455,0.08045627921819687,0.9429094195365906,0.18890105187892914
49,0.9629682302474976,0.0024999999441206455,0.08051136881113052,0.9398061633110046,0.18306119740009308
