tag,role,format,aami,n,n_abn,abn_fraction,class_auc,global_auc,recall@0.35,recall@0.50,recall@0.60,recall@0.65,global_precision@0.35,global_precision@0.50,global_precision@0.60,global_precision@0.65,global_far@0.35,global_far@0.50,global_far@0.60,global_far@0.65
exp7c_int8_tflite,current_deployment_anchor,tflite_int8,F,2334,2334,1.0,,0.834915,0.580977,0.034276,0.008141,0.004713,0.203749,0.386391,0.345773,0.374881,0.544368,0.136292,0.069289,0.036965
exp7c_int8_tflite,current_deployment_anchor,tflite_int8,Q,0,0,,,0.834915,,,,,0.203749,0.386391,0.345773,0.374881,0.544368,0.136292,0.069289,0.036965
exp7c_int8_tflite,current_deployment_anchor,tflite_int8,ALL,163078,20891,0.128104,,0.834915,0.948064,0.584127,0.249246,0.150878,0.203749,0.386391,0.345773,0.374881,0.544368,0.136292,0.069289,0.036965
p2a_float32,historical_strong_research_model,h5_float32,N,116921,0,0.0,,0.923299,,,,,0.370874,0.388867,0.398397,0.40364,0.235767,0.215962,0.205384,0.199807
p2a_float32,historical_strong_research_model,h5_float32,S,1812,1812,1.0,,0.923299,0.971854,0.948124,0.932119,0.919978,0.370874,0.388867,0.398397,0.40364,0.235767,0.215962,0.205384,0.199807
p2a_float32,historical_strong_research_model,h5_float32,V,14390,14390,1.0,,0.923299,0.990063,0.986101,0.982349,0.980195,0.370874,0.388867,0.398397,0.40364,0.235767,0.215962,0.205384,0.199807
p2a_float32,historical_strong_research_model,h5_float32,F,2334,2334,1.0,,0.923299,0.62982,0.580548,0.535133,0.513282,0.370874,0.388867,0.398397,0.40364,0.235767,0.215962,0.205384,0.199807
p2a_float32,historical_strong_research_model,h5_float32,Q,0,0,,,0.923299,,,,,0.370874,0.388867,0.398397,0.40364,0.235767,0.215962,0.205384,0.199807
p2a_float32,historical_strong_research_model,h5_float32,ALL,163078,20891,0.128104,,0.923299,0.945958,0.935283,0.92571,0.920444,0.370874,0.388867,0.398397,0.40364,0.235767,0.215962,0.205384,0.199807
lstm_cnn_baseline,cross_arch_baseline,h5_float32,N,116921,0,0.0,,0.803275,,,,,0.317126,0.365216,0.40751,0.444266,0.193893,0.134379,0.100762,0.080401
lstm_cnn_baseline,cross_arch_baseline,h5_float32,S,1812,1812,1.0,,0.803275,0.257174,0.137417,0.094371,0.06457,0.317126,0.365216,0.40751,0.444266,0.193893,0.134379,0.100762,0.080401
lstm_cnn_baseline,cross_arch_baseline,h5_float32,V,14390,14390,1.0,,0.803275,0.713551,0.651772,0.607019,0.577206,0.317126,0.365216,0.40751,0.444266,0.193893,0.134379,0.100762,0.080401
lstm_cnn_baseline,cross_arch_baseline,h5_float32,F,2334,2334,1.0,,0.803275,0.551414,0.41431,0.288775,0.213368,0.317126,0.365216,0.40751,0.444266,0.193893,0.134379,0.100762,0.080401
lstm_cnn_baseline,cross_arch_baseline,h5_float32,Q,0,0,,,0.803275,,,,,0.317126,0.365216,0.40751,0.444266,0.193893,0.134379,0.100762,0.080401
lstm_cnn_baseline,cross_arch_baseline,h5_float32,ALL,163078,20891,0.128104,,0.803275,0.612848,0.526207,0.471686,0.437461,0.317126,0.365216,0.40751,0.444266,0.193893,0.134379,0.100762,0.080401
lstm_cnn_deploy,cross_arch_deploy,h5_float32,N,116921,0,0.0,,0.741693,,,,,0.393364,0.412722,0.40439,0.397065,0.037549,0.019284,0.012596,0.010113
lstm_cnn_deploy,cross_arch_deploy,h5_float32,S,1812,1812,1.0,,0.741693,0.324503,0.205298,0.140728,0.109272,0.393364,0.412722,0.40439,0.397065,0.037549,0.019284,0.012596,0.010113
lstm_cnn_deploy,cross_arch_deploy,h5_float32,V,14390,14390,1.0,,0.741693,0.13558,0.076789,0.051355,0.042113,0.393364,0.412722,0.40439,0.397065,0.037549,0.019284,0.012596,0.010113
lstm_cnn_deploy,cross_arch_deploy,h5_float32,F,2334,2334,1.0,,0.741693,0.007712,0.001714,0.000428,0.000428,0.393364,0.412722,0.40439,0.397065,0.037549,0.019284,0.012596,0.010113
lstm_cnn_deploy,cross_arch_deploy,h5_float32,Q,0,0,,,0.741693,,,,,0.393364,0.412722,0.40439,0.397065,0.037549,0.019284,0.012596,0.010113
lstm_cnn_deploy,cross_arch_deploy,h5_float32,ALL,163078,20891,0.128104,,0.741693,0.165717,0.092241,0.058207,0.045331,0.393364,0.412722,0.40439,0.397065,0.037549,0.019284,0.012596,0.010113
cnn_standard_baseline,cross_arch_baseline,h5_float32,N,116921,0,0.0,,0.748436,,,,,0.267073,0.242397,0.221359,0.211105,0.282213,0.237574,0.214907,0.202241
