epoch,loss,val_auc,val_loss,val_valid_auc
0,1.7965896129608154,0.47410355392156867,2.895371913909912,0.51624
1,1.0481775999069214,0.7718808823529413,2.7833282947540283,1.0
2,0.7632464170455933,0.8017812499999999,1.774338960647583,1.0
3,0.5916723608970642,0.7856338235294118,1.8548604249954224,1.0
4,0.48483145236968994,0.7977040441176471,2.0621285438537598,1.0
5,0.4084418714046478,0.7972553921568628,2.2846620082855225,1.0
6,0.3355782926082611,0.7723319852941176,2.402068853378296,1.0
7,0.2885066568851471,0.7825822303921569,2.542522668838501,1.0
8,0.26278096437454224,0.7850482843137255,2.5414443016052246,1.0
9,0.23844443261623383,0.7570917892156863,3.2868845462799072,1.0
10,0.2175418734550476,0.7673212009803921,2.868745803833008,1.0
11,0.20012159645557404,0.7774537990196078,2.903141736984253,1.0
12,0.18691293895244598,0.7621998774509804,3.117668867111206,1.0
13,0.17936395108699799,0.7381085784313726,3.086585283279419,1.0
14,0.16274437308311462,0.7644387254901961,3.179673671722412,1.0
15,0.15304701030254364,0.7395696078431372,3.3735666275024414,1.0
16,0.13890120387077332,0.7448128676470589,3.0906260013580322,1.0
17,0.13752776384353638,0.7605438725490196,3.226331949234009,1.0
18,0.1257098913192749,0.7507049019607843,3.619983434677124,1.0
19,0.1280473917722702,0.7644405637254902,3.072666645050049,1.0
20,0.1304924339056015,0.7608444852941176,3.0056889057159424,1.0
21,0.12432722747325897,0.7565629901960784,2.842536211013794,1.0
22,0.11607951670885086,0.7058552696078432,3.2653393745422363,1.0
