epoch,loss,val_auc,val_loss,val_valid_auc
0,0.6591928601264954,0.5150643382352942,1.3044368028640747,0.8191299999999999
1,0.31996768712997437,0.6991311274509804,1.844232439994812,0.99999
2,0.23856858909130096,0.7883573529411765,0.7015185952186584,1.0
3,0.18988372385501862,0.7706105392156863,0.7806385159492493,1.0
4,0.15371917188167572,0.7674223039215686,0.9536609053611755,1.0
5,0.13798971474170685,0.765067524509804,0.9400147199630737,1.0
6,0.10582318156957626,0.7668813725490196,1.0573651790618896,1.0
7,0.0942080095410347,0.7362264705882353,1.3284775018692017,1.0
8,0.08493142575025558,0.7525232843137255,1.1495411396026611,1.0
9,0.0738200843334198,0.756316299019608,1.2875407934188843,0.99999
10,0.05771172419190407,0.7501761029411764,1.7581396102905273,1.0
11,0.05891956388950348,0.7564020833333334,1.6295685768127441,1.0
12,0.04800776392221451,0.7461616421568628,1.6477863788604736,1.0
13,0.046284858137369156,0.7323613970588235,1.9345906972885132,0.99999
14,0.044520217925310135,0.7531968137254902,1.54615318775177,1.0
15,0.040923379361629486,0.7258612745098039,1.7177118062973022,0.99996
16,0.030711673200130463,0.7206256127450981,1.9891290664672852,1.0
17,0.03653436154127121,0.7251006127450981,2.035266876220703,1.0
18,0.028777774423360825,0.7343921568627452,2.1023809909820557,1.0
19,0.022160515189170837,0.722578799019608,1.9020181894302368,1.0
20,0.020364034920930862,0.7327446078431372,2.620500087738037,1.0
21,0.017985442653298378,0.7408280637254901,2.0853681564331055,1.0
22,0.02208000421524048,0.720772549019608,2.6647191047668457,1.0
