epoch,loss,val_auc,val_loss,val_valid_auc
0,1.0586154460906982,0.6540643382352942,2.149317502975464,0.52117
1,0.5454063415527344,0.7671393382352941,1.468967080116272,0.99771
2,0.39166566729545593,0.7718204656862745,1.0447858572006226,1.0
3,0.3190128207206726,0.7964533088235294,1.105587363243103,1.0
4,0.27384403347969055,0.793445343137255,1.1989365816116333,1.0
5,0.23850606381893158,0.7801036764705883,1.2344605922698975,1.0
6,0.21736307442188263,0.776944362745098,1.3155255317687988,1.0
7,0.19257543981075287,0.7685345588235293,1.3817840814590454,1.0
8,0.17800599336624146,0.7655699754901961,1.412256121635437,1.0
9,0.1727650761604309,0.7691639705882354,1.4348872900009155,1.0
10,0.15683841705322266,0.7611470588235294,1.492646336555481,1.0
11,0.15109169483184814,0.7655464460784314,1.5161900520324707,1.0
12,0.14370255172252655,0.7552819852941177,1.6132175922393799,1.0
13,0.1381314992904663,0.7646529411764706,1.539577841758728,1.0
14,0.13837267458438873,0.7811883578431372,1.5279850959777832,1.0
15,0.12354312837123871,0.7797920343137255,1.6047046184539795,1.0
16,0.12735094130039215,0.789525,1.7863578796386719,1.0
17,0.11727324873209,0.7697522058823529,1.5571125745773315,1.0
18,0.1137726902961731,0.7787035539215686,1.5618088245391846,1.0
19,0.10887689143419266,0.7905598039215687,1.5932726860046387,1.0
20,0.105503611266613,0.802849632352941,1.6194912195205688,1.0
21,0.10209505259990692,0.7797705882352941,1.6340956687927246,1.0
22,0.1035681664943695,0.7945702205882353,1.5167111158370972,1.0
23,0.09962502121925354,0.7948968137254903,1.5743343830108643,1.0
24,0.10200569778680801,0.7836286764705883,1.7090976238250732,1.0
25,0.09744354337453842,0.7899828431372549,1.5867093801498413,1.0
26,0.09310195595026016,0.7722238970588235,1.9615087509155273,1.0
27,0.09355872124433517,0.7827042892156862,1.7079318761825562,1.0
28,0.09349101781845093,0.7845969362745098,1.6167043447494507,1.0
29,0.09077781438827515,0.7983417892156861,1.707592248916626,1.0
30,0.08827485889196396,0.7801493872549019,1.7603574991226196,1.0
31,0.09121876955032349,0.7587887254901962,1.8882063627243042,1.0
32,0.1114170029759407,0.7765988970588236,1.6949059963226318,1.0
33,0.0893477350473404,0.7910718137254902,1.6952924728393555,1.0
34,0.08750982582569122,0.7920476715686274,1.7957011461257935,1.0
35,0.08253040164709091,0.7848781862745098,1.8171385526657104,1.0
36,0.08222242444753647,0.7815789215686275,1.8770068883895874,1.0
37,0.08166909217834473,0.7887735294117646,1.8339290618896484,1.0
38,0.08148685842752457,0.7864946078431372,1.8591357469558716,1.0
39,0.08095739036798477,0.7934741421568627,1.7945811748504639,1.0
40,0.08284080028533936,0.7743041666666667,1.9546189308166504,1.0
