epoch,accuracy,loss,val_accuracy,val_auc,val_loss
0,0.751767098903656,0.501702070236206,0.4925742447376251,0.4759479166666667,0.7302902936935425
1,0.8623359203338623,0.3249398171901703,0.49529704451560974,0.6387509803921569,0.8501340746879578
2,0.895658016204834,0.25373566150665283,0.6707921028137207,0.8001723039215687,0.6256052255630493
3,0.9242679476737976,0.19704687595367432,0.7497524619102478,0.8222094362745099,0.5767331123352051
4,0.9429485201835632,0.1545659601688385,0.7297029495239258,0.812315318627451,0.6934366822242737
5,0.9554021954536438,0.12575079500675201,0.7217822074890137,0.7967421568627451,0.7925556898117065
6,0.9644900560379028,0.10158411413431168,0.7116336822509766,0.7856354166666666,0.936934769153595
7,0.9744194149971008,0.08032038062810898,0.7341583967208862,0.8116675245098038,0.9485008120536804
8,0.9739145040512085,0.07826592773199081,0.6987623572349548,0.7785829656862745,1.3133058547973633
9,0.9777852296829224,0.06299159675836563,0.7217822074890137,0.7913802696078431,1.1556164026260376
10,0.9831706285476685,0.04748091474175453,0.7101485133171082,0.7847675245098039,1.319488763809204
11,0.9887243509292603,0.03801003471016884,0.699999988079071,0.8034617647058824,1.4061108827590942
12,0.9887243509292603,0.033311646431684494,0.7084158658981323,0.7889759803921568,1.408093810081482
13,0.9856950640678406,0.04095153138041496,0.6851485371589661,0.7976910539215686,1.5417346954345703
14,0.9904072880744934,0.030065814033150673,0.7400990128517151,0.8091623774509804,1.3018686771392822
15,0.9895657896995544,0.030246412381529808,0.7089108824729919,0.7972165441176471,1.375964641571045
16,0.9912487268447876,0.02425270527601242,0.7091584205627441,0.8085422794117647,1.496421456336975
17,0.9941097497940063,0.01702924445271492,0.7183168530464172,0.7950871323529413,1.584985375404358
18,0.9966341257095337,0.011371144093573093,0.7116336822509766,0.7875797794117647,1.5837907791137695
19,0.993604838848114,0.019355714321136475,0.6928218007087708,0.7698042892156862,1.6939692497253418
20,0.9942780137062073,0.016048753634095192,0.7178217768669128,0.7890863970588236,1.640753149986267
21,0.9920902252197266,0.020489463582634926,0.690841555595398,0.7807873774509804,1.723826289176941
22,0.9947829246520996,0.014077793806791306,0.7195544838905334,0.7876438725490196,1.6980375051498413
23,0.9954560995101929,0.011275360360741615,0.7264851331710815,0.8018073529411764,1.6105499267578125
