epoch,accuracy,loss,val_accuracy,val_auc,val_loss
0,0.7367889881134033,0.5156123042106628,0.5477722883224487,0.5565416666666667,0.6871109008789062
1,0.8596432209014893,0.33817872405052185,0.571039617061615,0.6048085784313725,0.6682257056236267
2,0.8917872905731201,0.2614133656024933,0.6653465628623962,0.7522980392156862,0.6166110634803772
3,0.9148434996604919,0.2130434215068817,0.699009895324707,0.7744975490196078,0.6593598127365112
4,0.935038685798645,0.17495767772197723,0.6715346574783325,0.7386259803921569,0.8062857985496521
5,0.9488387703895569,0.13863663375377655,0.675990104675293,0.7459927696078432,0.8884310722351074
6,0.9599461555480957,0.11767220497131348,0.6282178163528442,0.712732843137255,1.1900343894958496
7,0.9671827554702759,0.09920944273471832,0.6351485252380371,0.7106694852941177,1.1516470909118652
8,0.9712218046188354,0.08400724828243256,0.6754950284957886,0.7399765931372548,1.1834255456924438
9,0.9730730652809143,0.07834488153457642,0.6613861322402954,0.7155960784313724,1.3006670475006104
10,0.9803096652030945,0.061967961490154266,0.6613861322402954,0.7297242647058825,1.3252311944961548
11,0.9824974536895752,0.04843124747276306,0.6794554591178894,0.7464547794117647,1.428269386291504
12,0.9846853017807007,0.04385562986135483,0.6596534848213196,0.7422662990196078,1.6881167888641357
13,0.9855267405509949,0.04659352824091911,0.678960382938385,0.753319730392157,1.4872463941574097
14,0.9883877635002136,0.03293582797050476,0.6816831827163696,0.7510197303921569,1.5821716785430908
15,0.9917536377906799,0.02370429039001465,0.6767326593399048,0.7426225490196079,1.8932111263275146
16,0.9924268126487732,0.021528281271457672,0.6532177925109863,0.691401593137255,1.975801944732666
17,0.9899023771286011,0.02683981880545616,0.6856435537338257,0.7501805147058824,1.7286235094070435
18,0.9932682514190674,0.022305060178041458,0.6717821955680847,0.7320212009803921,1.8332912921905518
19,0.9974756240844727,0.008464666083455086,0.663118839263916,0.7241325980392157,2.1795618534088135
20,0.9962975382804871,0.01121915690600872,0.6556930541992188,0.7413238970588236,2.782184362411499
21,0.9919219017028809,0.02169467695057392,0.6457920670509338,0.7064438725490196,2.0779457092285156
22,0.9939414262771606,0.017556998878717422,0.6787128448486328,0.7468204656862745,2.2299938201904297
23,0.9964658617973328,0.011339898221194744,0.6522276997566223,0.7375904411764705,2.1240599155426025
