epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.9664250016212463,0.9943071603775024,0.009999999776482582,0.025070173665881157,0.9664250016212463,0.9664250016212463,0.5002511143684387,0.494890958070755,0.668915867805481,0.5002511143684387,0.5002511143684387
1,0.9809302687644958,0.9976565837860107,0.009999999776482582,0.01584574580192566,0.9809302687644958,0.9809302687644958,0.40768641233444214,0.38774609565734863,0.9962525963783264,0.40768641233444214,0.40768641233444214
2,0.9851105809211731,0.9984409213066101,0.009999999776482582,0.01284087635576725,0.9851105809211731,0.9851105809211731,0.5097994804382324,0.5321113467216492,0.7186012268066406,0.5097994804382324,0.5097994804382324
3,0.9872100949287415,0.9988498091697693,0.009999999776482582,0.011119014583528042,0.9872100949287415,0.9872100949287415,0.5278164744377136,0.5464097261428833,0.7520439028739929,0.5278164744377136,0.5278164744377136
4,0.9891198873519897,0.9990759491920471,0.009999999776482582,0.009851032868027687,0.9891198873519897,0.9891198873519897,0.47146785259246826,0.48961761593818665,0.871975302696228,0.47146785259246826,0.47146785259246826
5,0.9905661940574646,0.9992973804473877,0.009999999776482582,0.008658809587359428,0.9905661940574646,0.9905661940574646,0.5522681474685669,0.5711104869842529,0.6764624118804932,0.5522681474685669,0.5522681474685669
6,0.9915257692337036,0.999433696269989,0.009999999776482582,0.007802716922014952,0.9915257692337036,0.9915257692337036,0.5713146924972534,0.574504017829895,0.8378612399101257,0.5713146924972534,0.5713146924972534
7,0.9922178387641907,0.9994946122169495,0.009999999776482582,0.007381600793451071,0.9922178387641907,0.9922178387641907,0.5848180055618286,0.599601149559021,0.7060049176216125,0.5848180055618286,0.5848180055618286
8,0.9928880929946899,0.9995718002319336,0.009999999776482582,0.006790702696889639,0.9928880929946899,0.9928880929946899,0.49523523449897766,0.4875032901763916,1.0238765478134155,0.49523523449897766,0.49523523449897766
9,0.9935895204544067,0.9996660947799683,0.004999999888241291,0.006156651768833399,0.9935895204544067,0.9935895204544067,0.651160717010498,0.6924424767494202,0.5816590189933777,0.651160717010498,0.651160717010498
10,0.9941322803497314,0.999722957611084,0.004999999888241291,0.005611540749669075,0.9941322803497314,0.9941322803497314,0.5335354804992676,0.5470651388168335,0.9535974860191345,0.5335354804992676,0.5335354804992676
11,0.9946687817573547,0.99974125623703,0.004999999888241291,0.005274445284157991,0.9946687817573547,0.9946687817573547,0.46664029359817505,0.4595600962638855,1.1187856197357178,0.46664029359817505,0.46664029359817505
12,0.9949456453323364,0.9997718930244446,0.004999999888241291,0.0049062250182032585,0.9949456453323364,0.9949456453323364,0.4711665213108063,0.4686664342880249,1.124182105064392,0.4711665213108063,0.4711665213108063
13,0.9951275587081909,0.9997914433479309,0.004999999888241291,0.004681040998548269,0.9951275587081909,0.9951275587081909,0.46555426716804504,0.45743250846862793,1.2183680534362793,0.46555426716804504,0.46555426716804504
14,0.99526447057724,0.9998002052307129,0.004999999888241291,0.004564914386719465,0.99526447057724,0.99526447057724,0.5291097164154053,0.545508086681366,0.8367916345596313,0.5291097164154053,0.5291097164154053
15,0.9955645799636841,0.9998229146003723,0.004999999888241291,0.0043379925191402435,0.9955645799636841,0.9955645799636841,0.5286012291908264,0.5332712531089783,1.07242751121521,0.5286012291908264,0.5286012291908264
16,0.9956687688827515,0.9998365044593811,0.004999999888241291,0.004189725965261459,0.9956687688827515,0.9956687688827515,0.5202142000198364,0.5378144383430481,0.8967986106872559,0.5202142000198364,0.5202142000198364
17,0.9958382844924927,0.9998483061790466,0.004999999888241291,0.00403742166236043,0.9958382844924927,0.9958382844924927,0.5906562805175781,0.6121851205825806,0.8505131602287292,0.5906562805175781,0.5906562805175781
18,0.9959518313407898,0.999861478805542,0.0024999999441206455,0.003906731028109789,0.9959518313407898,0.9959518313407898,0.5961869359016418,0.606080174446106,0.9302299618721008,0.5961869359016418,0.5961869359016418
19,0.9962410926818848,0.9998727440834045,0.0024999999441206455,0.003673371160402894,0.9962410926818848,0.9962410926818848,0.5236669182777405,0.5319473147392273,1.0076861381530762,0.5236669182777405,0.5236669182777405
20,0.996499240398407,0.9998953342437744,0.0024999999441206455,0.003428505500778556,0.996499240398407,0.996499240398407,0.48426806926727295,0.5019634962081909,1.1106209754943848,0.48426806926727295,0.48426806926727295
21,0.9966283440589905,0.9998931288719177,0.0024999999441206455,0.0033211330883204937,0.9966283440589905,0.9966283440589905,0.63252854347229,0.6867771148681641,0.665839672088623,0.63252854347229,0.63252854347229
22,0.9967278838157654,0.9999018311500549,0.0024999999441206455,0.0032553542405366898,0.9967278838157654,0.9967278838157654,0.5106155872344971,0.5383355617523193,0.9869681596755981,0.5106155872344971,0.5106155872344971
23,0.9969238042831421,0.9999129176139832,0.0024999999441206455,0.0030588943045586348,0.9969238042831421,0.9969238042831421,0.5679875016212463,0.5962278842926025,0.9122706055641174,0.5679875016212463,0.5679875016212463
24,0.9968445301055908,0.9999032616615295,0.0024999999441206455,0.0030920261051505804,0.9968445301055908,0.9968445301055908,0.5969904661178589,0.6289817094802856,0.826504647731781,0.5969904661178589,0.5969904661178589
25,0.9969160556793213,0.9999209046363831,0.0024999999441206455,0.002973210299387574,0.9969160556793213,0.9969160556793213,0.5243072509765625,0.5412406325340271,1.070359468460083,0.5243072509765625,0.5243072509765625
26,0.9969145059585571,0.9999157190322876,0.0012499999720603228,0.0030319332145154476,0.9969145059585571,0.9969145059585571,0.5844852924346924,0.6067036986351013,0.9338277578353882,0.5844852924346924,0.5844852924346924
27,0.9971011281013489,0.9999204874038696,0.0012499999720603228,0.0029102216940373182,0.9971011281013489,0.9971011281013489,0.555758535861969,0.5828655958175659,1.0064116716384888,0.555758535861969,0.555758535861969
28,0.9971960186958313,0.9999128580093384,0.0012499999720603228,0.002824918832629919,0.9971960186958313,0.9971960186958313,0.6167589426040649,0.6549723744392395,0.8578272461891174,0.6167589426040649,0.6167589426040649
29,0.9973064064979553,0.9999224543571472,0.0012499999720603228,0.002708738436922431,0.9973064064979553,0.9973064064979553,0.5159893035888672,0.5463269352912903,1.071658968925476,0.5159893035888672,0.5159893035888672
