epoch,accuracy,loss,val_accuracy,val_auc,val_loss
0,0.7621114253997803,0.46861788630485535,0.49702969193458557,0.5062053921568628,0.6980220675468445
1,0.8123775124549866,0.3756718039512634,0.6037128567695618,0.7048066176470588,0.730772852897644
2,0.8329599499702454,0.3420403003692627,0.6831682920455933,0.779493137254902,0.7674656510353088
3,0.8515821695327759,0.31148219108581543,0.7044554352760315,0.7963622549019609,0.7778889536857605
4,0.8641837239265442,0.2900400757789612,0.7106435894966125,0.7978936274509805,0.7837602496147156
5,0.8734248280525208,0.2732774615287781,0.7153465151786804,0.7894272058823529,0.7679632902145386
6,0.884766161441803,0.25743040442466736,0.6943069100379944,0.7771419117647058,0.9426479935646057
7,0.8926070928573608,0.23766422271728516,0.6591584086418152,0.7646672794117647,1.3856757879257202
8,0.8979277610778809,0.22981886565685272,0.697029709815979,0.759123161764706,1.0098737478256226
9,0.9075888991355896,0.2132861167192459,0.6801980137825012,0.7564678921568627,1.2834607362747192
10,0.9120694398880005,0.202475905418396,0.6423267126083374,0.7492688725490197,1.8511964082717896
11,0.9180901646614075,0.1952487975358963,0.6784653663635254,0.756340318627451,1.614220142364502
12,0.9201903939247131,0.1869458109140396,0.6475247740745544,0.7628982843137255,2.052424669265747
13,0.9249510169029236,0.18145418167114258,0.6846534609794617,0.7451723039215686,1.5629500150680542
14,0.9277513027191162,0.172543004155159,0.6792079210281372,0.7701844362745098,1.6721404790878296
15,0.9340521097183228,0.16603685915470123,0.6920791864395142,0.7569082107843137,1.4520466327667236
16,0.9374125003814697,0.15445847809314728,0.6893564462661743,0.7790616421568627,1.6302186250686646
17,0.9444133043289185,0.1436828225851059,0.6529703140258789,0.7447667892156863,1.7702217102050781
18,0.9441332817077637,0.13917170464992523,0.6873762607574463,0.7400893382352941,1.4651985168457031
19,0.9460935592651367,0.1329670250415802,0.6551980376243591,0.7831963235294117,2.297227621078491
20,0.9528143405914307,0.12190330028533936,0.6801980137825012,0.7491408088235294,1.538718342781067
21,0.9578549265861511,0.11589508503675461,0.6702970266342163,0.7716602941176471,1.9911291599273682
22,0.9582750201225281,0.1113922968506813,0.6673267483711243,0.7690895833333333,2.180792808532715
23,0.9621954560279846,0.10108396410942078,0.6131188273429871,0.761433455882353,2.86914324760437
24,0.9637356400489807,0.09924737364053726,0.603960394859314,0.7630980392156863,2.7605133056640625
