epoch,accuracy,loss,val_accuracy,val_auc,val_loss
0,0.7522719502449036,0.5222160816192627,0.49504950642585754,0.6607556372549019,0.7319018840789795
1,0.8508919477462769,0.4057179093360901,0.591089129447937,0.7298003676470588,0.6634650826454163
2,0.868057906627655,0.37180957198143005,0.657920777797699,0.7396182598039215,0.6127156615257263
3,0.8833726048469543,0.34786316752433777,0.6262376308441162,0.7138180147058824,0.7250485420227051
4,0.8922921419143677,0.3332708477973938,0.6566831469535828,0.7715393382352941,0.8162129521369934
5,0.9000336527824402,0.32492610812187195,0.6873762607574463,0.7665143382352941,0.6268613338470459
6,0.9101312756538391,0.30897825956344604,0.6829208135604858,0.7686115196078431,0.6830688714981079
7,0.9126556515693665,0.30937233567237854,0.6737623810768127,0.7347710784313726,0.73655104637146
8,0.9183776378631592,0.2931940257549286,0.6591584086418152,0.7230830882352942,0.7154129147529602
9,0.9161898493766785,0.29518502950668335,0.6772277355194092,0.7627542892156862,0.6931774020195007
10,0.9227532744407654,0.28268811106681824,0.6688118577003479,0.7596345588235294,0.7697710990905762
11,0.9222484230995178,0.2842330038547516,0.6722772121429443,0.7538938725490196,0.691154956817627
12,0.9293166995048523,0.2713091969490051,0.6819307208061218,0.7576992647058824,0.6783249378204346
13,0.9235947728157043,0.2727144956588745,0.678960382938385,0.7369004901960784,0.7167193293571472
14,0.9308313727378845,0.2657584846019745,0.637871265411377,0.7430651960784315,0.8599149584770203
15,0.9333557486534119,0.25829458236694336,0.6873762607574463,0.7610370098039216,0.6947121620178223
16,0.9325143098831177,0.25750213861465454,0.6858910918235779,0.7596715686274509,0.7065232992172241
17,0.9320093989372253,0.2556892931461334,0.6616336703300476,0.7399580882352941,0.7428080439567566
18,0.941433846950531,0.24954694509506226,0.6962871551513672,0.7825571078431373,0.6920258402824402
19,0.9304947853088379,0.2617073953151703,0.6851485371589661,0.7735996323529413,0.7406477928161621
20,0.9431167840957642,0.23863399028778076,0.6754950284957886,0.7504830882352941,0.7229657173156738
21,0.9409289956092834,0.24327635765075684,0.6903465390205383,0.77025,0.7183916568756104
22,0.9444631338119507,0.24304969608783722,0.6683168411254883,0.7478107843137255,0.7168500423431396
23,0.9395826458930969,0.24328367412090302,0.6398515105247498,0.7308851715686274,0.7521974444389343
24,0.9459778070449829,0.2334655076265335,0.6727722883224487,0.7475886029411765,0.7158601880073547
25,0.9473241567611694,0.23600704967975616,0.6806930899620056,0.7658104166666666,0.7434160709381104
26,0.947829008102417,0.2300705760717392,0.7017326951026917,0.7834546568627451,0.661091148853302
27,0.944968044757843,0.2302917242050171,0.6720296740531921,0.7576134803921568,0.7172235250473022
28,0.9481655955314636,0.2332872748374939,0.6745049357414246,0.7512622549019607,0.7357157468795776
29,0.9491753578186035,0.2220493108034134,0.6658415794372559,0.7614350490196078,0.7212308049201965
30,0.9459778070449829,0.2259296178817749,0.6492574214935303,0.7353634803921569,0.7754252552986145
31,0.9464826583862305,0.2251448631286621,0.6663366556167603,0.7540588235294118,0.7424818277359009
32,0.9503534436225891,0.22056744992733002,0.6876237392425537,0.7697778186274511,0.6951329112052917
33,0.9565802812576294,0.2162867933511734,0.6566831469535828,0.7366279411764706,0.7811221480369568
34,0.9532144069671631,0.21831277012825012,0.6680693030357361,0.7595557598039215,0.7466497421264648
35,0.9564119577407837,0.21408627927303314,0.6596534848213196,0.7553160539215688,0.7751520276069641
36,0.9518680572509766,0.21755437552928925,0.6534653306007385,0.7411955882352941,0.8641120195388794
37,0.9535509943962097,0.21492215991020203,0.6856435537338257,0.7646050245098039,0.7048306465148926
38,0.953382670879364,0.214106947183609,0.6819307208061218,0.7679151960784314,0.7644803524017334
39,0.9567485451698303,0.22088736295700073,0.6948019862174988,0.7771995098039215,0.6876962184906006
40,0.9596095681190491,0.20800337195396423,0.6601485013961792,0.7376453431372549,0.8095099329948425
41,0.9585998058319092,0.20915275812149048,0.6918317079544067,0.7689259803921569,0.7177175283432007
42,0.9560753703117371,0.20342382788658142,0.6648514866828918,0.7448053921568627,0.7715848088264465
43,0.9584314823150635,0.20564882457256317,0.6678217649459839,0.7479234068627452,0.8055335283279419
44,0.9550656080245972,0.20540598034858704,0.6633663177490234,0.7459082107843138,0.7987918257713318
45,0.9575900435447693,0.2024257928133011,0.6646039485931396,0.7446414215686274,0.7801719903945923
46,0.9575900435447693,0.20350296795368195,0.675990104675293,0.7643321078431372,0.7431317567825317
