epoch,accuracy,loss,val_accuracy,val_auc,val_loss
0,0.7645573616027832,0.48767468333244324,0.479950487613678,0.48731691176470593,0.6943476796150208
1,0.8719286322593689,0.31566867232322693,0.6400989890098572,0.718454044117647,0.6290927529335022
2,0.9037361145019531,0.2445966899394989,0.6128712892532349,0.7237261029411763,0.7300109267234802
3,0.926624059677124,0.1996583789587021,0.6519802212715149,0.7310747549019607,0.8520868420600891
4,0.9392460584640503,0.16486681997776031,0.6435643434524536,0.7311889705882353,0.9981664419174194
5,0.9493436813354492,0.13805027306079865,0.6237623691558838,0.7214889705882352,1.1335889101028442
6,0.9644900560379028,0.1039675623178482,0.6081683039665222,0.7063729166666667,1.3466087579727173
7,0.9695388674736023,0.08494145423173904,0.6745049357414246,0.744032475490196,1.2136809825897217
8,0.9755974411964417,0.0736006498336792,0.6264851689338684,0.7079192401960784,1.4986456632614136
9,0.9846853017807007,0.05322946608066559,0.6727722883224487,0.7413007352941177,1.4255894422531128
10,0.9799730777740479,0.05614245682954788,0.6108911037445068,0.6910970588235293,1.8066633939743042
11,0.984348714351654,0.04472178593277931,0.6735148429870605,0.7228194852941177,1.542181134223938
12,0.9868730902671814,0.03907909616827965,0.6648514866828918,0.7435214460784314,1.5458775758743286
13,0.9895657896995544,0.03094853274524212,0.6413366198539734,0.7099371323529413,1.893320918083191
14,0.9912487268447876,0.02520863339304924,0.6373762488365173,0.7020976715686276,2.0428292751312256
15,0.99074387550354,0.024703044444322586,0.6353960633277893,0.7221187499999999,2.068115711212158
16,0.9888926148414612,0.03047926165163517,0.6883663535118103,0.7582963235294118,1.656267523765564
17,0.9925950765609741,0.021650973707437515,0.6400989890098572,0.7082936274509803,2.1192235946655273
18,0.987209677696228,0.03280626982450485,0.66410893201828,0.7239823529411764,2.5628819465637207
19,0.9910804629325867,0.026189543306827545,0.6373762488365173,0.6917877450980392,2.2001233100891113
20,0.9942780137062073,0.01672828383743763,0.6383663415908813,0.7089355392156863,2.272188186645508
21,0.9934365749359131,0.01791391149163246,0.6373762488365173,0.7012389705882354,2.394238233566284
22,0.9942780137062073,0.016798237338662148,0.6487624049186707,0.7008214460784313,2.3295586109161377
23,0.997307300567627,0.008330912329256535,0.6571782231330872,0.6981585784313725,2.5097992420196533
24,0.9974756240844727,0.010496413335204124,0.6556930541992188,0.708290318627451,2.510529041290283
25,0.9947829246520996,0.014142340049147606,0.6480197906494141,0.6816938725490196,2.616499185562134
26,0.9979804754257202,0.007521580904722214,0.6306930780410767,0.6818938725490197,2.7935197353363037
27,0.9976438879966736,0.008524379692971706,0.6363861560821533,0.6917876225490196,2.662975311279297
28,0.9954560995101929,0.014520660042762756,0.6455445289611816,0.7008426470588236,2.5995559692382812
29,0.9968024492263794,0.009621603414416313,0.6487624049186707,0.728017524509804,2.3905155658721924
30,0.997139036655426,0.007471645716577768,0.6304455399513245,0.6909508578431373,2.760399580001831
31,0.9989902377128601,0.0037853200919926167,0.6504950523376465,0.698258455882353,2.9586596488952637
32,0.9969707131385803,0.01164857018738985,0.6507425904273987,0.7144220588235295,2.6709766387939453
33,0.9978122115135193,0.007848790846765041,0.6660891175270081,0.7276747549019609,2.529283285140991
34,0.9984853863716125,0.005376560613512993,0.658910870552063,0.7138948529411764,2.7451670169830322
35,0.9989902377128601,0.002957761287689209,0.6725247502326965,0.7246338235294119,2.791419506072998
36,0.9996634125709534,0.0014914204366505146,0.6544554233551025,0.7291015931372549,2.8905911445617676
