epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.9678930640220642,0.9948781728744507,0.009999999776482582,0.02366681396961212,0.9678930640220642,0.9678930640220642,0.6037076115608215,0.6613650918006897,0.44706177711486816,0.6037076115608215,0.6037076115608215
1,0.9806191921234131,0.9977113604545593,0.009999999776482582,0.015802251175045967,0.9806191921234131,0.9806191921234131,0.6514683365821838,0.7227886319160461,0.4427017271518707,0.6514683365821838,0.6514683365821838
2,0.9847078323364258,0.9984322786331177,0.009999999776482582,0.012989315204322338,0.9847078323364258,0.9847078323364258,0.5665749907493591,0.6033145189285278,0.6263715624809265,0.5665749907493591,0.5665749907493591
3,0.987360954284668,0.9988756775856018,0.009999999776482582,0.011054581962525845,0.987360954284668,0.987360954284668,0.704069197177887,0.748527467250824,0.45492082834243774,0.704069197177887,0.704069197177887
4,0.9892178773880005,0.9991276860237122,0.009999999776482582,0.009685185737907887,0.9892178773880005,0.9892178773880005,0.6525606513023376,0.69724440574646,0.5731431841850281,0.6525606513023376,0.6525606513023376
5,0.9903889298439026,0.9992901682853699,0.009999999776482582,0.008764460682868958,0.9903889298439026,0.9903889298439026,0.5360339879989624,0.5495170950889587,0.8652738928794861,0.5360339879989624,0.5360339879989624
6,0.9911773800849915,0.9993987083435059,0.009999999776482582,0.008061417378485203,0.9911773800849915,0.9911773800849915,0.4382023215293884,0.37957122921943665,1.649235486984253,0.4382023215293884,0.4382023215293884
7,0.9919347763061523,0.9994905591011047,0.009999999776482582,0.007443327456712723,0.9919347763061523,0.9919347763061523,0.5292352437973022,0.5447033643722534,0.9906155467033386,0.5292352437973022,0.5292352437973022
8,0.9925739765167236,0.9995585083961487,0.009999999776482582,0.006854227744042873,0.9925739765167236,0.9925739765167236,0.5409180521965027,0.5685149431228638,0.9071739912033081,0.5409180521965027,0.5409180521965027
9,0.9932426810264587,0.9996303915977478,0.009999999776482582,0.006299499422311783,0.9932426810264587,0.9932426810264587,0.5711828470230103,0.5921297073364258,0.8060604333877563,0.5711828470230103,0.5711828470230103
10,0.9936828017234802,0.999691903591156,0.004999999888241291,0.005935119464993477,0.9936828017234802,0.9936828017234802,0.5306163430213928,0.5582450032234192,1.0462464094161987,0.5306163430213928,0.5306163430213928
11,0.9944215416908264,0.999751627445221,0.004999999888241291,0.005232843570411205,0.9944215416908264,0.9944215416908264,0.638555109500885,0.6863460540771484,0.6495601534843445,0.638555109500885,0.638555109500885
12,0.9946983456611633,0.9997627139091492,0.004999999888241291,0.005089845508337021,0.9946983456611633,0.9946983456611633,0.5079914927482605,0.5163170099258423,1.103695273399353,0.5079914927482605,0.5079914927482605
