epoch,loss,val_auc,val_loss,val_valid_auc
0,0.5414789319038391,0.39438848039215685,1.2970515489578247,0.4988
1,0.3060573935508728,0.6134533088235294,1.3685368299484253,0.99315
2,0.22564290463924408,0.7353906862745098,0.864570140838623,1.0
3,0.17454032599925995,0.7208193627450981,0.8324870467185974,1.0
4,0.14766713976860046,0.6982379901960785,0.9353381395339966,1.0
5,0.11251550167798996,0.720844362745098,1.064967155456543,1.0
6,0.09563794732093811,0.7151848039215686,1.1792837381362915,1.0
7,0.0755588710308075,0.6865441176470588,1.5224465131759644,1.0
8,0.06165876239538193,0.7326325980392157,1.6425840854644775,1.0
9,0.059704992920160294,0.6909078431372548,1.561504602432251,1.0
10,0.049821361899375916,0.7187595588235294,1.7117958068847656,1.0
11,0.03991081938147545,0.743894362745098,1.5326974391937256,1.0
12,0.035879164934158325,0.7334422794117648,1.6432498693466187,1.0
13,0.029570546001195908,0.7504511029411765,1.6954236030578613,1.0
14,0.028668731451034546,0.718084068627451,1.8147456645965576,1.0
15,0.026128223165869713,0.7561631127450981,1.8459842205047607,1.0
16,0.017208145931363106,0.7664025735294119,1.8568872213363647,1.0
17,0.027792401611804962,0.7318882352941176,1.9034645557403564,1.0
18,0.016831928864121437,0.7399670343137255,2.0573840141296387,1.0
19,0.010987892746925354,0.7338091911764706,2.110459566116333,1.0
20,0.015383664518594742,0.7641314950980391,2.065748929977417,1.0
21,0.02272985503077507,0.7266401960784313,2.019789218902588,1.0
22,0.015619735233485699,0.7258523284313725,2.1615548133850098,1.0
23,0.010743159800767899,0.7268325980392158,2.289315938949585,1.0
24,0.013345408253371716,0.7187357843137254,2.2174715995788574,1.0
25,0.01190051157027483,0.7388354166666666,2.191527843475342,1.0
26,0.013334286399185658,0.722468137254902,2.261223316192627,1.0
27,0.011484812013804913,0.7191677696078431,2.443415880203247,1.0
28,0.005193967837840319,0.723880637254902,2.3991000652313232,1.0
29,0.002008835319429636,0.7284716911764706,2.5976240634918213,1.0
30,0.0011923329439014196,0.7242204656862744,2.702617883682251,1.0
31,0.0006286130519583821,0.7306455882352942,2.7649073600769043,1.0
32,0.0006083875778131187,0.7347100490196079,2.7647125720977783,1.0
33,0.0004976741038262844,0.7318571078431372,2.8787150382995605,1.0
34,0.00041353527922183275,0.7304796568627452,2.9386613368988037,1.0
35,0.0007803853950463235,0.7291040441176471,3.045407295227051,1.0
36,0.00033512417576275766,0.7312216911764706,2.994415283203125,1.0
