epoch,accuracy,auc,learning_rate,loss,val_accuracy,val_auc,val_loss
0,0.9137187600135803,0.9842787981033325,0.0005000000237487257,0.23852041363716125,0.7279524803161621,0.8706187009811401,0.915039598941803
1,0.9677187204360962,0.9963322281837463,0.0005000000237487257,0.09869501739740372,0.6384406089782715,0.8133568167686462,1.3673450946807861
2,0.9760507941246033,0.9976932406425476,0.0005000000237487257,0.07421049475669861,0.6133124232292175,0.7781760096549988,1.5432206392288208
3,0.9803749918937683,0.9983635544776917,0.0005000000237487257,0.05992983281612396,0.5888222455978394,0.7587805986404419,1.9594429731369019
4,0.9835429787635803,0.9986441135406494,0.0005000000237487257,0.05107375606894493,0.5582166314125061,0.7236508727073669,2.2403404712677
5,0.9853515625,0.9989240765571594,0.0005000000237487257,0.04458053037524223,0.606030285358429,0.766913115978241,1.8638275861740112
6,0.987179696559906,0.9990540146827698,0.0005000000237487257,0.039971593767404556,0.6212727427482605,0.7671343088150024,2.0136451721191406
7,0.9878359436988831,0.9991795420646667,0.0005000000237487257,0.036995310336351395,0.5439915657043457,0.7143861651420593,2.3189425468444824
8,0.9891601800918579,0.9993162751197815,0.0005000000237487257,0.03280887380242348,0.6881049275398254,0.8202058672904968,1.8344255685806274
9,0.9902617335319519,0.9993982911109924,0.0005000000237487257,0.0300626028329134,0.4805733859539032,0.6539226174354553,2.7947633266448975
10,0.9907500147819519,0.9994332194328308,0.0005000000237487257,0.028260143473744392,0.6010357141494751,0.7613635659217834,2.1681408882141113
11,0.9941445589065552,0.9996637105941772,0.0002500000118743628,0.01823917217552662,0.5896211266517639,0.7384073734283447,2.811753273010254
12,0.9949336051940918,0.9997339844703674,0.0002500000118743628,0.015989504754543304,0.6534761190414429,0.7884128093719482,2.541069507598877
13,0.9951211214065552,0.9997256994247437,0.0002500000118743628,0.015390812419354916,0.6264684796333313,0.7692827582359314,2.677994966506958
14,0.9955742359161377,0.9997565746307373,0.0002500000118743628,0.013910443522036076,0.5975412130355835,0.746250331401825,2.9002597332000732
15,0.9958398342132568,0.9997795224189758,0.0002500000118743628,0.013054687529802322,0.6074901819229126,0.7489714622497559,3.057819366455078
16,0.9960078001022339,0.9997888207435608,0.0002500000118743628,0.01232729759067297,0.6672184467315674,0.7973499298095703,2.624708414077759
17,0.9959531426429749,0.9998281002044678,0.0002500000118743628,0.012152806855738163,0.5971331596374512,0.739797055721283,3.302582025527954
18,0.9962578415870667,0.9998238682746887,0.0002500000118743628,0.011510627344250679,0.5364162921905518,0.6821777820587158,4.1224045753479
19,0.9963906407356262,0.9998472929000854,0.0002500000118743628,0.010918699204921722,0.5291227102279663,0.6825733780860901,3.9468300342559814
20,0.9968047142028809,0.9998552799224854,0.0002500000118743628,0.00975789688527584,0.6401705741882324,0.7745847105979919,2.9610798358917236
21,0.9979570508003235,0.999905526638031,0.0001250000059371814,0.0064733391627669334,0.5768961310386658,0.7191773056983948,3.7919704914093018
22,0.9983593821525574,0.9999063014984131,0.0001250000059371814,0.0055155702866613865,0.61612868309021,0.7512409687042236,3.4037280082702637
23,0.9983359575271606,0.999933660030365,0.0001250000059371814,0.0052463598549366,0.5825286507606506,0.7210796475410461,3.987915515899658
24,0.9984883069992065,0.999925434589386,0.0001250000059371814,0.00506347231566906,0.6178126931190491,0.7514858245849609,3.452331781387329
25,0.9984999895095825,0.9999313950538635,0.0001250000059371814,0.0047334954142570496,0.596977949142456,0.7311840653419495,3.9158501625061035
26,0.998605489730835,0.9999377131462097,0.0001250000059371814,0.004443852696567774,0.6401820778846741,0.7679560780525208,3.408935070037842
27,0.9986562728881836,0.999933660030365,0.0001250000059371814,0.004512052517384291,0.6125422716140747,0.7462327480316162,3.582526445388794
28,0.9986289143562317,0.9999383091926575,0.0001250000059371814,0.0043033030815422535,0.5978458523750305,0.7332960367202759,3.9037771224975586
29,0.9986640810966492,0.999928891658783,0.0001250000059371814,0.0042543658055365086,0.6132779121398926,0.7453673481941223,3.8362574577331543
30,0.9987968802452087,0.9999515414237976,0.0001250000059371814,0.003926874604076147,0.6344518065452576,0.7612954378128052,3.5831387042999268
