epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.9300781488418579,0.98097825050354,0.009999999776482582,0.04508442431688309,0.9300781488418579,0.9300781488418579,0.7399399876594543,0.7958482503890991,0.29309406876564026,0.7399399876594543,0.7399399876594543
1,0.9536952972412109,0.9908341765403748,0.009999999776482582,0.029354574158787727,0.9536952972412109,0.9536952972412109,0.27427273988723755,0.224269300699234,1.396124005317688,0.27427273988723755,0.27427273988723755
2,0.9452031254768372,0.9864137172698975,0.009999999776482582,0.041727352887392044,0.9452031254768372,0.9452031254768372,0.2635001838207245,0.22238129377365112,0.9790533781051636,0.2635001838207245,0.2635001838207245
3,0.9598749876022339,0.9921287894248962,0.009999999776482582,0.028951387852430344,0.9598749876022339,0.9598749876022339,0.33152535557746887,0.30328798294067383,0.696490466594696,0.33152535557746887,0.33152535557746887
4,0.9143593907356262,0.9714011549949646,0.009999999776482582,0.06438765674829483,0.9143593907356262,0.9143593907356262,0.6375695466995239,0.7190060615539551,0.30566155910491943,0.6375695466995239,0.6375695466995239
5,0.9667187333106995,0.9945729970932007,0.009999999776482582,0.022425970062613487,0.9667187333106995,0.9667187333106995,0.5703604817390442,0.5920042395591736,0.42523425817489624,0.5703604817390442,0.5703604817390442
6,0.9707812666893005,0.9954394102096558,0.009999999776482582,0.020685795694589615,0.9707812666893005,0.9707812666893005,0.1943889856338501,0.1785946488380432,1.3536126613616943,0.1943889856338501,0.1943889856338501
7,0.9621250033378601,0.9921607971191406,0.009999999776482582,0.03184961900115013,0.9621250033378601,0.9621250033378601,0.3909814655780792,0.3256262540817261,0.9957216382026672,0.3909814655780792,0.3909814655780792
8,0.9717968702316284,0.9954896569252014,0.009999999776482582,0.021820293739438057,0.9717968702316284,0.9717968702316284,0.37988248467445374,0.3381570875644684,0.7881112694740295,0.37988248467445374,0.37988248467445374
9,0.9295468926429749,0.9792973399162292,0.004999999888241291,0.05584745854139328,0.9295468926429749,0.9295468926429749,0.5943852066993713,0.6420485973358154,0.4153617322444916,0.5943852066993713,0.5943852066993713
10,0.9721875190734863,0.9960888028144836,0.004999999888241291,0.0191993098706007,0.9721875190734863,0.9721875190734863,0.42603614926338196,0.39813491702079773,0.8189730644226074,0.42603614926338196,0.42603614926338196
11,0.9752890467643738,0.9962388277053833,0.004999999888241291,0.018832076340913773,0.9752890467643738,0.9752890467643738,0.2919507324695587,0.2650013267993927,1.3011811971664429,0.2919507324695587,0.2919507324695587
12,0.9675468802452087,0.9937772750854492,0.004999999888241291,0.028902022168040276,0.9675468802452087,0.9675468802452087,0.47558602690696716,0.4527779817581177,0.9780019521713257,0.47558602690696716,0.47558602690696716
13,0.9752030968666077,0.9962165951728821,0.004999999888241291,0.019771980121731758,0.9752030968666077,0.9752030968666077,0.5374401807785034,0.5557736754417419,0.6165656447410583,0.5374401807785034,0.5374401807785034
14,0.9405781030654907,0.9837697744369507,0.004999999888241291,0.04978451505303383,0.9405781030654907,0.9405781030654907,0.6406581401824951,0.6904391646385193,0.3750529885292053,0.6406581401824951,0.6406581401824951
15,0.9756093621253967,0.9966526031494141,0.004999999888241291,0.017478814348578453,0.9756093621253967,0.9756093621253967,0.39494895935058594,0.3555348813533783,0.9046465158462524,0.39494895935058594,0.39494895935058594
16,0.9792343974113464,0.997243344783783,0.004999999888241291,0.01585846208035946,0.9792343974113464,0.9792343974113464,0.24017854034900665,0.21759147942066193,1.6206114292144775,0.24017854034900665,0.24017854034900665
17,0.966671884059906,0.9933577179908752,0.0024999999441206455,0.030438154935836792,0.966671884059906,0.966671884059906,0.4415169358253479,0.4047878682613373,0.9910294413566589,0.4415169358253479,0.4415169358253479
18,0.9731875061988831,0.9954898357391357,0.0024999999441206455,0.02199883759021759,0.9731875061988831,0.9731875061988831,0.5450990200042725,0.5615463256835938,0.6647518873214722,0.5450990200042725,0.5450990200042725
19,0.9423437714576721,0.9848471879959106,0.0024999999441206455,0.04842933639883995,0.9423437714576721,0.9423437714576721,0.638573944568634,0.6768401265144348,0.39192497730255127,0.638573944568634,0.638573944568634
20,0.974414050579071,0.9964998364448547,0.0024999999441206455,0.018239280208945274,0.974414050579071,0.974414050579071,0.36119377613067627,0.32164138555526733,0.9710347056388855,0.36119377613067627,0.36119377613067627
21,0.9800546765327454,0.9976411461830139,0.0024999999441206455,0.014872439205646515,0.9800546765327454,0.9800546765327454,0.5040867924690247,0.4883747100830078,0.8034369349479675,0.5040867924690247,0.5040867924690247
22,0.969796895980835,0.9940616488456726,0.0024999999441206455,0.0284274909645319,0.969796895980835,0.969796895980835,0.4317927956581116,0.40333664417266846,1.0093308687210083,0.4317927956581116,0.4317927956581116
23,0.9760624766349792,0.9962461590766907,0.0024999999441206455,0.019850682467222214,0.9760624766349792,0.9760624766349792,0.5435546636581421,0.5621163249015808,0.6516814231872559,0.5435546636581421,0.5435546636581421
24,0.9477187395095825,0.9870520234107971,0.0024999999441206455,0.0447024330496788,0.9477187395095825,0.9477187395095825,0.591987133026123,0.6061285734176636,0.4904240071773529,0.591987133026123,0.591987133026123
25,0.9697109460830688,0.9951866269111633,0.0012499999720603228,0.021947432309389114,0.9697109460830688,0.9697109460830688,0.37305232882499695,0.316394180059433,0.9504015445709229,0.37305232882499695,0.37305232882499695
